system:index,date,municipio,ndvi_mean,.geo
3_00000000000000000006,2005-04-01,La Dorada,0.7105601076798697,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000007,2005-04-01,La Merced,0.656444595761479,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000008,2005-04-01,Manizales,0.6390605466459087,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000009,2005-04-01,Manzanares,0.641242518186076,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000a,2005-04-01,Marmato,0.6315365409047022,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000b,2005-04-01,Marquetalia,0.6643267271534185,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000c,2005-04-01,Marulanda,0.6065433583054338,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000d,2005-04-01,Neira,0.6466259984695563,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000e,2005-04-01,Norcasia,0.7666008651103972,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000f,2005-04-01,Pacora,0.6284978238860678,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000010,2005-04-01,Palestina,0.7143163574457231,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000011,2005-04-01,Pensilvania,0.5748843686811674,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000012,2005-04-01,Riosucio,0.6847152361546252,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000013,2005-04-01,Risaralda,0.7148102005811069,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000014,2005-04-01,Salamina,0.5902545482220214,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000015,2005-04-01,Samana,0.6045362901999343,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000016,2005-04-01,San Jose,0.7302061610125162,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000017,2005-04-01,Supia,0.6791509331071939,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000018,2005-04-01,Victoria,0.7689732616673727,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000019,2005-04-01,Villamaria,0.5068799185320829,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000001a,2005-04-01,Viterbo,0.7481491529731749,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000000,2005-05-01,Aguadas,0.7558299096731197,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000001,2005-05-01,Anserma,0.7448175106751082,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000002,2005-05-01,Aranzazu,0.7143022912628101,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000003,2005-05-01,Belalcazar,0.7462102559309282,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000004,2005-05-01,Chinchina,0.7679178274990979,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000005,2005-05-01,Filadelfia,0.770712204269103,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000006,2005-05-01,La Dorada,0.7378125013245896,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000007,2005-05-01,La Merced,0.7714417580188441,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000008,2005-05-01,Manizales,0.7071535682818675,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000009,2005-05-01,Manzanares,0.7192949184400654,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000a,2005-05-01,Marmato,0.7372764154573246,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000b,2005-05-01,Marquetalia,0.81042837556246,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000c,2005-05-01,Marulanda,0.6891531661781678,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000d,2005-05-01,Neira,0.727963768818477,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000e,2005-05-01,Norcasia,0.7838190974193744,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000f,2005-05-01,Pacora,0.7802500522305245,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000010,2005-05-01,Palestina,0.77239329878415,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000011,2005-05-01,Pensilvania,0.7183706829149807,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000012,2005-05-01,Riosucio,0.7911528745341212,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000013,2005-05-01,Risaralda,0.7205946782259051,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000014,2005-05-01,Salamina,0.7455065408282806,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000015,2005-05-01,Samana,0.7437570259065467,"{""type"":""MultiPoint"",""coordinates"":[]}"
