Region,Mes,PDSI,aet,def,pet,ppt,q,soil,srad,swe,tmax,tmin,vap,vpd,ws
Caldas,2016-02,-4.73724928366762,52.903151862464185,47.98825214899714,100.89140401146132,50.20315186246419,2.509169054441261,15.01977077363897,218.86819484240687,0.0,24.99656160458453,17.187965616045847,2.1928252148997136,0.7358739255014326,1.261031518624642
Caldas,2016-03,-4.47134670487106,109.11289398280803,0.17564469914040115,109.28853868194844,155.38796561604585,20.149283667621777,41.14441260744986,211.13438395415474,0.0005730659025787966,24.685386819484243,15.9163323782235,2.106186246418338,0.6805444126074498,1.1349570200573067
Caldas,2016-04,-4.118624641833809,96.78481375358166,0.0,96.78481375358166,254.09111747851003,144.28051575931232,54.173638968481384,190.37478510028654,0.000859598853868195,24.394842406876794,16.6676217765043,2.1119083094555875,0.52621776504298,1.0387679083094556
Caldas,2016-05,-4.093696275071632,91.1730659025788,0.0,91.1730659025788,198.14555873925502,106.97249283667622,54.173638968481384,171.23467048710603,0.0005730659025787966,24.445558739255013,16.552435530085962,2.149297994269341,0.5536389684813754,1.136246418338109
Caldas,2016-06,-4.540687679083093,85.02464183381089,5.294842406876791,90.31948424068769,80.32664756446991,4.400859598853868,45.07593123209169,177.54297994269342,0.0002865329512893983,24.19914040114613,16.48280802292264,2.066621776504298,0.6176790830945559,1.192865329512894
Caldas,2016-07,-4.214899713467047,90.90573065902579,2.036389684813754,92.94212034383955,105.46590257879656,13.57707736389685,46.060171919770774,169.20114613180516,0.00171919770773639,24.87277936962751,15.632951289398285,1.9241948424068767,0.6677363896848137,1.2400286532951288
Caldas,2016-08,-3.759312320916904,102.2945558739255,0.02206303724928367,102.31661891117479,162.69398280802292,54.38681948424069,52.07220630372493,186.4624641833811,0.0005730659025787966,25.70573065902579,15.812320916905447,1.9566733524355302,0.7706590257879655,1.3530945558739256
Caldas,2016-09,-3.0323782234957006,100.27077363896848,0.0,100.27077363896848,212.66074498567338,110.28911174785101,54.173638968481384,195.3951289398281,0.0011461318051575933,24.59570200573066,15.589684813753586,1.9680515759312323,0.6419484240687678,1.1798567335243553
Caldas,2016-10,-3.3042979942693393,92.22435530085961,0.0,92.22435530085961,244.22836676217764,152.00372492836678,54.173638968481384,175.15845272206303,0.0014326647564469914,23.836962750716335,15.638108882521491,2.020060171919771,0.4642406876790831,1.1949570200573068
Caldas,2016-11,-4.254441260744984,82.62664756446992,0.0,82.62664756446992,121.5028653295129,38.87621776504298,54.173638968481384,171.4601719197708,0.0014326647564469914,22.41489971346705,16.079369627507166,2.0889656160458454,0.4063323782234957,1.1993696275071632
Caldas,2016-12,-3.7297994269340955,87.26418338108883,0.010315186246418338,87.27449856733526,142.50429799426934,55.257593123209176,54.15587392550144,174.26131805157596,0.002005730659025788,23.508595988538683,15.444699140401148,1.9986074498567334,0.4421203438395416,1.005616045845272
Caldas,2017-01,-3.345272206303723,94.065329512894,4.884813753581662,98.95014326647564,97.27822349570201,11.601719197707736,45.766189111747856,202.90974212034385,0.0,23.369627507163326,14.981661891117483,1.9483266475644698,0.5188252148997134,1.159942693409742
Caldas,2017-02,-2.838681948424067,101.18309455587394,2.1564469914040116,103.33954154727793,133.4538681948424,32.103724928366766,45.9381088825215,235.49455587392552,0.0,23.833524355300863,15.39684813753582,1.9888739255014325,0.6786532951289398,1.2304011461318052
Caldas,2017-03,-2.8833810888252134,104.73753581661892,3.7297994269340977,108.46733524355301,118.48309455587392,16.373925501432666,43.310028653295134,217.86934097421207,0.0,23.33954154727794,15.582808022922638,2.0002005730659027,0.5114040114613181,1.068166189111748
Caldas,2017-04,-3.0512893982808005,104.55014326647564,0.0,104.55014326647564,218.78366762177652,103.36848137535816,54.173638968481384,214.73696275071632,0.00171919770773639,23.897994269340977,16.023209169054446,2.068111747851003,0.5526647564469914,1.0941260744985675
Caldas,2017-05,-3.5690544412607434,98.32922636103152,0.0,98.32922636103152,155.84441260744987,57.51547277936963,54.173638968481384,193.42578796561605,0.0011461318051575933,23.781948424068773,15.842406876790834,2.0653982808022926,0.482378223495702,0.9491117478510029
Caldas,2017-06,-3.5604584527220613,87.81002865329513,0.013180515759312322,87.82320916905445,131.1191977077364,43.32836676217765,54.1512893982808,175.02091690544412,0.004584527220630373,23.75243553008596,15.42550143266476,1.944785100286533,0.4911174785100287,0.922836676217765
Caldas,2017-07,-3.7209169054441245,81.23409742120344,12.06676217765043,93.30085959885388,64.02636103151863,3.3770773638968485,33.57249283667622,172.35386819484242,0.000859598853868195,24.687965616045847,15.752435530085963,1.9281174785100288,0.6986819484240688,1.3241547277936963
Caldas,2017-08,-2.7252148997134658,96.7787965616046,0.0,96.7787965616046,217.4730659025788,99.94183381088827,54.1730659025788,191.2727793696275,0.14727793696275074,22.28194842406877,14.814040114613185,1.87432664756447,0.6675931232091691,1.0818911174785102
Caldas,2017-09,-2.739541547277936,95.03237822349571,0.0,95.03237822349571,153.2077363896848,58.28280802292264,54.173638968481384,194.28252148997137,0.03925501432664757,23.050429799426936,15.183381088825218,1.8946074498567333,0.6173352435530086,1.1536676217765043
Caldas,2017-10,-2.4323782234957005,92.76131805157593,0.0,92.76131805157593,307.09398280802293,214.3412607449857,54.173638968481384,182.6541547277937,0.031232091690544413,22.945845272206306,14.907163323782239,1.9406160458452721,0.4747277936962751,1.162893982808023
Caldas,2017-11,-2.034097421203437,87.69856733524357,0.0,87.69856733524357,253.9759312320917,166.30458452722064,54.173638968481384,171.89541547277938,0.0037249283667621777,24.270200573065907,14.402578796561608,1.8489169054441261,0.398567335243553,1.2368194842406879
Caldas,2017-12,-1.6123209169054429,91.80114613180517,0.004297994269340974,91.8054441260745,158.06103151862465,66.26848137535816,54.16618911174785,186.2942693409742,0.0028653295128939836,23.418624641833812,15.243266475644702,2.0029770773638966,0.4783381088825215,1.1882808022922635
Caldas,2018-01,-0.48710601719197527,97.58309455587393,0.9169054441260746,98.5,144.19598853868195,48.18309455587393,52.598853868194844,201.38166189111746,0.0,23.56275071633238,15.071919770773643,1.9279398280802291,0.5178510028653295,0.7527220630372494
Caldas,2018-02,-0.34584527220630196,80.45386819484241,2.554441260744986,83.0083094555874,96.97650429799428,20.202005730659025,48.918624641833816,178.42836676217766,0.0,23.802578796561605,15.406876790830948,1.9622005730659025,0.449541547277937,0.7627507163323782
Caldas,2018-03,-0.28395415472779256,105.04469914040114,0.10458452722063037,105.14928366762177,143.765329512894,36.33409742120344,51.305444126074505,204.6896848137536,0.0002865329512893983,24.43925501432665,15.682521489971348,1.9822005730659027,0.5620343839541547,0.8647564469914041
Caldas,2018-04,0.033237822349571323,95.55530085959886,0.0,95.55530085959886,254.01747851002867,155.58338108882523,54.173638968481384,192.51919770773637,0.009742120343839542,23.123209169054444,15.290544412607455,1.9724498567335242,0.4572492836676218,0.8263610315186247
Caldas,2018-05,1.7166189111747865,86.43180515759313,0.0,86.43180515759313,352.18882521489974,265.7595988538682,54.173638968481384,165.54871060171922,0.007449856733524355,23.511747851002866,15.181088825214902,1.9460974212034383,0.3517478510028653,0.7303724928366763
Caldas,2018-06,1.401719197707738,85.0487106017192,0.0,85.0487106017192,147.28882521489973,62.24297994269342,54.173638968481384,170.15071633237824,0.004297994269340974,23.863896848137536,15.509169054441262,1.967140401146132,0.3081948424068768,0.7830945558739255
Caldas,2018-07,1.340401146131807,89.79856733524356,0.4578796561604585,90.25644699140402,118.48366762177652,29.47335243553009,53.38796561604585,169.35616045845273,0.004011461318051576,24.657306590257885,15.36389684813754,1.9104154727793696,0.29988538681948423,0.9475644699140401
Caldas,2018-08,0.9994269340974226,102.87449856733525,0.3515759312320917,103.22607449856734,140.69340974212034,38.25787965616046,52.952435530085964,194.46074498567336,0.0025787965616045844,25.03896848137536,14.932091690544416,1.867733524355301,0.41561604584527223,1.0971346704871061
Caldas,2018-09,1.462177650429801,92.83123209169055,0.0,92.83123209169055,223.1541547277937,129.10085959885387,54.173638968481384,181.62263610315188,0.00171919770773639,24.599713467048712,15.124355300859603,1.926252148997135,0.38515759312320924,0.7830945558739255
