municipio,date,temperature_2m,temperature_2m_min,temperature_2m_max,dewpoint_temperature_2m,total_precipitation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,surface_solar_radiation_downwards_sum,potential_evaporation_sum,total_evaporation_sum,surface_runoff_sum,sub_surface_runoff_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure
Villamaria,2011-07-01,286.26167926707296,282.6076095289079,292.11753670867625,285.1173166560515,0.04371281796724228,0.43273658568536383,0.4364567312321218,1.7529028448589787E7,-0.004736697180522025,-0.0033332036236458674,0.017239728896889576,0.022835773532546795,-0.4343286978486835,0.13269265494531776,76559.006222951
Viterbo,2011-07-01,290.9066146338565,288.2671007744065,295.18650479258366,289.4593531934253,0.01863516675879576,0.42357355672251445,0.4242471518850698,1.4595653934371525E7,-0.005877426257761023,-0.003177721249027689,0.007061957326760148,0.008529839417726233,0.20725184044751319,-0.33561596134038696,84600.33619748216
Aguadas,2011-08-01,291.76898390706884,286.68086633766154,297.9048712349124,288.70029575736953,0.012204391044091089,0.42777018275156825,0.4311355543587176,2.0778120435255785E7,-0.011677963634040694,-0.003813960065542632,0.004094390809759328,0.0044937120514453605,-0.4255693439915784,0.05165945714001963,85077.61730697431
Anserma,2011-08-01,290.34205542467373,286.8618852701436,294.98866043166817,288.52424441973733,0.01862436933258827,0.4199328960484662,0.421781251863651,1.770087073741476E7,-0.0054157479972951166,-0.0033539661115891592,0.006620610860830686,0.009313614806213852,0.08823399455709373,-0.14091742474728397,83435.81764308452
Aranzazu,2011-08-01,290.51334290570367,285.4540223328199,296.3833083163558,288.2397422058058,0.018788101027698033,0.4330512963598491,0.4367699545865749,1.9691130829493087E7,-0.0064851828145778565,-0.003513026172661967,0.006182609828267827,0.009827409987581737,-0.42996447793166565,0.07878911095680328,84055.6867963186
Belalcazar,2011-08-01,291.9421275837186,288.7055457266595,296.8625341403952,290.14273065047547,0.022371991899898778,0.42494734737597073,0.4253793166945923,1.6910512419773776E7,-0.006725108745444039,-0.0035271392787943638,0.009839673407324832,0.009155779509941571,0.09367461309515995,-0.3318376180174874,86496.78630668727
Chinchina,2011-08-01,290.4371315140211,286.68702166245674,295.5891703679181,288.9767186909668,0.05024773198842865,0.42738910912145345,0.42805663074383227,1.8033288951251265E7,-0.006963439905469296,-0.003965448394539549,0.03177926996656804,0.014592157110720592,-0.0857089041651913,-0.2221218885569087,84671.99829013267
Filadelfia,2011-08-01,292.06644355786386,287.13047839749237,297.4437672525875,289.960098817648,0.020205733324767505,0.43111318788415504,0.4343131824855303,1.9136893900204167E7,-0.00590152007042023,-0.003334846424008082,0.007665220816897683,0.009957806189214028,-0.1090084817241743,0.05347131214385878,87243.68329441438
La Dorada,2011-08-01,299.8933249225828,295.10738918925074,305.7344091155921,292.12475655460463,0.0029482253710612677,0.40621090251113534,0.39618392670212166,2.093991852133006E7,-0.025411023550665567,-0.004067998594448124,6.874146391892334E-5,2.0671562871200396E-4,0.6760756061031419,0.25723688143964535,97782.1459136863
La Merced,2011-08-01,292.3283414364431,287.34487239605215,297.85769970801573,289.9373165713986,0.017879536544919538,0.42683001168455,0.4287113675079892,1.9700222172759857E7,-0.005708217532724462,-0.0034086585510522123,0.007654857010610642,0.007606538050010213,-0.13363073444708276,0.05510352973869624,86931.93192764337
Manizales,2011-08-01,289.44489805431414,284.7587565845876,295.86854155763825,287.6498449628216,0.030676028506818383,0.42338413402865327,0.42489485660248943,1.9210496848576024E7,-0.006925559677165381,-0.003526531598037971,0.014782443116315725,0.012782096721247057,-0.4126326755699588,0.07317477679471172,82756.42102237276
Manzanares,2011-08-01,288.2150197990163,284.3987521964606,293.5602141204063,283.0070491496571,0.006339088717416957,0.43996791267768826,0.43884629130811775,2.070539158604799E7,-0.008548742687945598,-0.00396888530421715,6.157560920736169E-4,0.0020596417590286707,-0.8197752135342616,0.2549103976584155,77583.69373750266
Marmato,2011-08-01,290.15539326663844,285.7159083439754,295.6063142080757,287.7470638022727,0.0155487007508925,0.41262145062139743,0.41484943512947325,1.9780716000992555E7,-0.006774098742244853,-0.0035592358522394457,0.0062121441694110565,0.006219570967311007,-0.018431216966425534,0.07912421417788496,82538.31759072581
Marquetalia,2011-08-01,291.5861523600164,287.30790818091054,296.89664839082377,284.1799419335127,0.0013337459461957156,0.30318846080569134,0.29279845196195786,2.0965438773867715E7,-0.018423324019328592,-0.0028765701845715553,8.370671827927521E-5,3.3776076439538666E-4,-0.5333434800779546,0.3232614124871316,82624.4011154896
Marulanda,2011-08-01,285.0769426682297,281.0160105578595,290.9083849076737,281.8062376762437,0.01335383442422791,0.4288248037273365,0.43507763494968577,2.04278452433271E7,-0.0068009536324634325,-0.0039045076501379953,0.002701151571637899,0.007648140489483976,-0.8543272697307864,0.14491059360365488,73097.38684214404
Neira,2011-08-01,289.6040281628671,284.9104443401147,295.46558550939045,287.52947036540354,0.02170180681052654,0.4219072575372751,0.42433140659224816,1.9313106426490836E7,-0.00646254617248399,-0.003442424183727499,0.008720717270475882,0.0102671108505953,-0.4074269506940557,0.08576083211976142,82706.40859943368
Norcasia,2011-08-01,296.78834293912985,292.31503203772974,302.4225082433129,290.112191588762,0.0024721450644982408,0.3398882014267527,0.3324586105287233,2.1227877504975624E7,-0.024401512299774723,-0.004074827187083741,4.8510777041070215E-5,3.5552715473755286E-4,0.34179630130711847,-0.060334548515703315,92201.7335260761
Pacora,2011-08-01,291.303980925945,286.1106425425742,297.5383265928074,288.5210270238236,0.014509176068867721,0.43240060836344185,0.4338307836348935,2.0329658223138493E7,-0.009550140730145772,-0.0036897425541598658,0.005881786152174714,0.005626019362379213,-0.32552599904993834,0.04545717059539528,84544.93755747737
Palestina,2011-08-01,291.2048133737561,286.78423759685523,297.3702672259487,289.53102108643634,0.03932655637259929,0.4268716875764665,0.427426138889175,1.8218218696994767E7,-0.007724706760394795,-0.0037255102076788798,0.0230176261540678,0.012694075300997863,-0.08179160231954964,-0.103521776127033,86363.15381671608
Pensilvania,2011-08-01,288.95210832619864,284.94870957995556,294.4000424925315,283.4782082681429,0.006614443393802261,0.4082416042761635,0.4101931860248219,2.0938169292833164E7,-0.010194490597450269,-0.00394951646285407,0.001310978111011793,0.0018423504950164653,-0.7178286369703103,0.1404207059033554,78550.31676724505
Riosucio,2011-08-01,287.7055986575955,284.3273302222032,292.6466280618198,285.6592737798831,0.014266551474382218,0.40800375883549467,0.41246134409146995,1.8613633382401526E7,-0.006422243694276066,-0.0037010244168577612,0.003507501683217755,0.007385735894550852,0.1697309518093282,-0.0010081763869108872,77865.05311879581
Risaralda,2011-08-01,290.77599753133256,287.32757903698723,295.55555470986565,288.9961081024474,0.02166100709748231,0.4230177343014823,0.4238468780186198,1.737748455299539E7,-0.00633203540273791,-0.0034245537588337006,0.009671097757771608,0.008888580608297829,0.07081894882402594,-0.2148734772380261,84283.02020474138
Salamina,2011-08-01,288.56100002212156,283.7735279945557,294.6848812505004,285.76371613269333,0.015366546941007874,0.42394461941652156,0.4260724892034476,2.0286981251580685E7,-0.00776462941416069,-0.003762746560537152,0.005088204511434426,0.007368940235775737,-0.5853142520704877,0.03498950636910321,79618.04192287782
Samana,2011-08-01,294.3926868639627,289.91988130303264,299.82486840185953,287.5338819816444,0.0018574750995610182,0.3147588749451938,0.30674052413733666,2.1202832818383805E7,-0.02161504496106605,-0.003616217544122702,8.185743231637805E-5,3.577330710097824E-4,-0.2245579323591777,0.0810291261978518,87676.14157648948
San Jose,2011-08-01,291.19162709225895,288.0118057304813,296.08090546438774,289.4212069152504,0.020270836840519297,0.42357325794235356,0.4242123453527368,1.697941415372984E7,-0.00619094157704122,-0.0034283611737097796,0.00865147428046311,0.008427945705461168,0.10683591391450616,-0.2989239961870254,84902.41169984879
Supia,2011-08-01,288.5888507835029,284.46455564149784,293.90752909467807,286.4152283336877,0.016340035625684153,0.410576870955029,0.41399120789999866,1.940756611815875E7,-0.007183838793660212,-0.003615316086150215,0.004365094500246493,0.009138762695253277,0.08304645747185176,0.06091089052495509,79884.40838348486
Victoria,2011-08-01,297.43565923712885,292.5117138475481,303.4047931316782,289.08540139707304,0.0017865398678329667,0.3083920300244062,0.2964109899716696,2.096506579335435E7,-0.027309926170163548,-0.003530692915239977,2.458427422330718E-5,2.5674121909992614E-4,0.5244091537899749,0.3054302145719641,93103.20229329764
Villamaria,2011-08-01,286.33233038729645,282.41944157409307,292.1799100144407,284.9251738831377,0.0392662977015439,0.4326316206821104,0.43557556639233447,1.950069778130475E7,-0.005525516799584443,-0.003592246697035079,0.01517846815887257,0.020695081671287863,-0.47954568212913384,0.14877089565618526,76597.7876409394
Viterbo,2011-08-01,291.15783832636333,288.28918952432707,295.8932993446494,289.41289967150436,0.017086944060726337,0.4218468319543167,0.42271421147488997,1.6560080802280312E7,-0.00624229359203272,-0.0034534383467548797,0.006023039425970848,0.007872554201123049,0.16075668274847985,-0.35340516802377947,84638.49332881442
Aguadas,2011-09-01,291.7594436344528,286.8238413508251,298.00035130202167,288.80996265526977,0.013253446336590742,0.42953672912118146,0.4314699742181266,2.015364321527357E7,-0.011131720402425388,-0.003636891063058166,0.004022475362125069,0.005213682720255772,-0.34602695829806773,0.08115499079294342,85124.63782921445
Anserma,2011-09-01,290.2403905141634,286.6713808097447,294.8543434825665,288.53793734280913,0.022485060223410732,0.42145349311778274,0.4228122167519323,1.698906146919537E7,-0.005075375194221098,-0.0032396627250861195,0.008544458061905015,0.010369824864094162,0.11116178728213377,-0.14182642145187066,83484.62691104958
Aranzazu,2011-09-01,290.4032995653359,285.2819008979962,296.43312814720787,288.14538835302574,0.020387196847442973,0.43561158902717356,0.43786640311732433,1.9228544175297618E7,-0.006155404679122425,-0.0034549663608361564,0.006331002541305699,0.010324983183471928,-0.38713983108126926,0.07591942934074787,84104.23958326287
Belalcazar,2011-09-01,291.74993464638254,288.3708453664188,296.48642796988446,290.10586824201516,0.024693346123747014,0.42555713525123473,0.4259791370995518,1.635166437522547E7,-0.006862275816317417,-0.0034619992832729822,0.011370288039870764,0.00960384775356297,0.12921462123814884,-0.2968823068643086,86549.11239170445
Chinchina,2011-09-01,290.22394690264144,286.34487393868164,295.2688195996933,288.85822979803993,0.051011818291971954,0.42727926897658114,0.4279605111852474,1.7567552561257474E7,-0.0066850408644419605,-0.00391011416065675,0.032257327856147947,0.014716481345027729,-0.06964735927187393,-0.18159186187287024,84721.58568226537
Filadelfia,2011-09-01,291.9722852608188,287.0097022733407,297.364908266993,289.9404960948874,0.023325449553792087,0.43317667498367235,0.4351343942526859,1.8532704875701476E7,-0.00548404914165851,-0.003199632689121026,0.009184307110209,0.0107049905430164,-0.09667499005375363,0.053931066741755566,87295.48319193092
La Dorada,2011-09-01,299.9406370482391,295.09024629362546,305.91581586432346,292.13961083048207,0.004324212344567548,0.4105737247520791,0.411756877699528,2.1462756828472223E7,-0.02578488976406699,-0.004178930829185768,2.805931012231659E-4,1.4358986515533811E-4,0.6810742996932996,0.13817106842418803,97829.45405273438
La Merced,2011-09-01,292.2512979893625,287.3292051188151,297.78338722511575,289.97716687520347,0.01993574650911115,0.4291576190053681,0.43023389109858773,1.9081983895879634E7,-0.00530789500033414,-0.003252498712045727,0.0088610627502203,0.007554084480636649,-0.1029436646273107,0.06529721257127362,86982.84538182389
Manizales,2011-09-01,289.27742290349715,284.4472920559147,296.3201661243011,287.5107919062727,0.033639698205339144,0.42400875528279947,0.4251877901725926,1.881840624985087E7,-0.006563810092098715,-0.0035153470681919654,0.01670644063386724,0.013002515365777031,-0.3789058458463173,0.06084054293589983,82803.72593244186
Manzanares,2011-09-01,288.1516377362907,284.37483405753704,293.69177033122145,282.6611761921015,0.00658758594151204,0.43411568081568164,0.4311921265846924,2.072894331265394E7,-0.008884894586059651,-0.0038647236554059145,5.626014569905787E-4,0.0015880579535646,-0.7313693963639646,0.21236751300752263,77620.95487503528
Marmato,2011-09-01,290.0941076735146,285.7672665483524,295.5175554167919,287.8794162241619,0.018195686503041826,0.4164315756773337,0.41752323215843273,1.907410004163462E7,-0.006502788968575306,-0.0034527111077346864,0.007386317130846856,0.007103058264041558,0.02308286526264287,0.08603130436351157,82585.92376560831
Marquetalia,2011-09-01,291.48666071629555,287.23192181571164,296.8923435943296,283.99414732148483,0.002397451998653095,0.31661448387719704,0.29435852577389293,2.1142061470896464E7,-0.018621582838923043,-0.002761497605209449,1.2970579041776434E-4,2.0145965796528444E-4,-0.4669316075466298,0.2720328804753579,82663.30595631883
Marulanda,2011-09-01,284.95582084616797,280.81995466449024,291.0938078862775,281.53258474818495,0.013383314584698816,0.4274152991045914,0.4312552481913143,2.023863393793317E7,-0.006965310445502365,-0.003913793104223447,0.0022171408991833895,0.006247618971484723,-0.7570573967862912,0.11987217343979509,73133.85283217706
