municipio,fecha,ndvi_mean,ndvi_median,ndvi_min,ndvi_max,ndvi_stdDev,n_pixeles,producto
Anserma,2005-02-18,0.6471651422003288,0.71237789222149,0.049800000000000004,0.9976,0.18383672551960523,3593,MODIS/061/MOD13Q1
Manzanares,2005-02-18,0.3557009335555667,0.30291538461538464,0.0204,0.9957,0.2299710402237771,3361,MODIS/061/MOD13Q1
Aranzazu,2005-02-18,0.4634827853395974,0.43218574545454547,0.034,0.9915,0.2611379691577732,2579,MODIS/061/MOD13Q1
Marulanda,2005-02-18,0.4136468608887634,0.3767915094339622,0.014100000000000001,0.9964000000000001,0.24072947454951932,6339,MODIS/061/MOD13Q1
Filadelfia,2005-02-18,0.6905920245328763,0.7517735524466163,0.0512,0.997,0.17415527435950987,3244,MODIS/061/MOD13Q1
Salamina,2005-02-18,0.6168338662217366,0.6897805395606744,0.029,0.9971000000000001,0.2184026768631421,6505,MODIS/061/MOD13Q1
Marmato,2005-02-18,0.7196860159272804,0.7516147196261683,0.08220000000000001,0.9522,0.12987461079153478,667,MODIS/061/MOD13Q1
Supia,2005-02-18,0.6893419608600182,0.7478522995146755,0.0465,0.9995,0.1694531732413242,2094,MODIS/061/MOD13Q1
Pensilvania,2005-02-18,0.3480315965353379,0.2438567005127174,0.007200000000000001,0.9985,0.26306614542673684,8359,MODIS/061/MOD13Q1
Riosucio,2005-02-18,0.6440516513873498,0.7243898511285416,0.02,0.9987,0.2191815214988511,6438,MODIS/061/MOD13Q1
Pácora,2005-02-18,0.6551672429061596,0.7400407150340494,0.054,0.9946,0.2002584912568076,4323,MODIS/061/MOD13Q1
Victoria,2005-02-18,0.7147592533535845,0.7871341172125093,0.0109,0.9993000000000001,0.19223627027949636,9331,MODIS/061/MOD13Q1
Aguadas,2005-02-18,0.6524278882048812,0.7011726637051664,0.0376,0.9993000000000001,0.1679747482106452,7981,MODIS/061/MOD13Q1
Samaná,2005-02-18,0.48990804467521054,0.4705497826486255,0.0166,0.9995,0.268454087979454,12602,MODIS/061/MOD13Q1
Viterbo,2005-02-18,0.7471812101455242,0.7713589025629445,0.114,0.9962000000000001,0.1029308000302599,1971,MODIS/061/MOD13Q1
La Merced,2005-02-18,0.6947130550922801,0.7517020585544373,0.08320000000000001,0.9974000000000001,0.17466077261206595,1533,MODIS/061/MOD13Q1
Palestina,2005-02-18,0.7588651629639953,0.7751969913501315,0.12340000000000001,0.9744,0.10253158251572178,1963,MODIS/061/MOD13Q1
Chinchiná,2005-02-18,0.7479561116993463,0.7795875839906513,0.11410000000000001,0.9977,0.13660590686345495,1944,MODIS/061/MOD13Q1
La Dorada,2005-02-18,0.6978864975347935,0.7128763323121148,0.0675,0.9485,0.11158268998699448,9281,MODIS/061/MOD13Q1
Belalcázar,2005-02-18,0.7065239616289577,0.7476304800788399,0.0806,0.9951000000000001,0.14983586961800532,1967,MODIS/061/MOD13Q1
San José,2005-02-18,0.687703432551132,0.7682505787718267,0.0589,0.9914000000000001,0.1825429632994031,1095,MODIS/061/MOD13Q1
Marquetalia,2005-02-18,0.36591914150655297,0.34543325377883854,0.027,0.999,0.19791881806459513,1587,MODIS/061/MOD13Q1
Norcasia,2005-02-18,0.717713802037514,0.7832601088475404,0.032600000000000004,0.9995,0.1931076719494769,3900,MODIS/061/MOD13Q1
Manizales,2005-02-18,0.5364628390942203,0.6229636163445069,0.0068000000000000005,0.9982000000000001,0.2639944017996644,7420,MODIS/061/MOD13Q1
Villamaria,2005-03-06,0.6272930973362055,0.7536885091337653,-0.058100000000000006,0.9962000000000001,0.2617175915156935,7588,MODIS/061/MOD13Q1
Risaralda,2005-03-06,0.7027504166066324,0.7597814516129036,0.07,0.9884000000000001,0.15174645940594808,1601,MODIS/061/MOD13Q1
Neira,2005-03-06,0.7549501014806457,0.7793088211328693,0.0582,0.9913000000000001,0.1188282484664152,6262,MODIS/061/MOD13Q1
Anserma,2005-03-06,0.7321809564016054,0.7635810493106875,0.068,0.9905,0.12315377847032716,3593,MODIS/061/MOD13Q1
Manzanares,2005-03-06,0.7079468110276532,0.7715911769648758,0.0526,0.9791000000000001,0.1749778038099233,3362,MODIS/061/MOD13Q1
Aranzazu,2005-03-06,0.7578708357618764,0.7987941994591317,0.0477,0.9904000000000001,0.14152714400221117,2579,MODIS/061/MOD13Q1
Marulanda,2005-03-06,0.7555932267819154,0.7677130214691964,0.0142,0.9951000000000001,0.09760237282568397,6340,MODIS/061/MOD13Q1
Filadelfia,2005-03-06,0.7157579336237841,0.740136894409938,0.0659,0.9286000000000001,0.115240645906203,3244,MODIS/061/MOD13Q1
Salamina,2005-03-06,0.7594210512938107,0.7675577979041206,0.062400000000000004,0.9903000000000001,0.08342707317450003,6505,MODIS/061/MOD13Q1
Marmato,2005-03-06,0.7713571884772367,0.7817930983118173,0.4546,0.8828,0.05875491673474566,667,MODIS/061/MOD13Q1
Supia,2005-03-06,0.7663061515166143,0.7704733162100458,0.4433,0.9046000000000001,0.053736569602761644,2094,MODIS/061/MOD13Q1
Pensilvania,2005-03-06,0.6209813992749267,0.7092618838992335,0.0165,0.9986,0.24484334867224694,8359,MODIS/061/MOD13Q1
Riosucio,2005-03-06,0.797311623676418,0.8027027116311084,0.0349,0.9876,0.07691329005833547,6439,MODIS/061/MOD13Q1
Pácora,2005-03-06,0.7870397903289348,0.7986111843446354,0.06910000000000001,0.9785,0.08463704563276031,4323,MODIS/061/MOD13Q1
Victoria,2005-03-06,0.7752125641166743,0.7830877802261831,0.0821,0.9966,0.0756612622994047,9336,MODIS/061/MOD13Q1
Aguadas,2005-03-06,0.752405418656751,0.755756325190609,0.0955,0.9741000000000001,0.08048384029466299,7981,MODIS/061/MOD13Q1
Samaná,2005-03-06,0.6619521337425919,0.8105299831274603,0.0216,0.9992000000000001,0.25673899717862514,12608,MODIS/061/MOD13Q1
Viterbo,2005-03-06,0.7367083995663574,0.7557430582026097,0.2068,0.9508000000000001,0.08814757278066086,1974,MODIS/061/MOD13Q1
La Merced,2005-03-06,0.75383799506554,0.7557225922799479,0.1494,0.9339000000000001,0.06997024533797991,1533,MODIS/061/MOD13Q1
Palestina,2005-03-06,0.7654929131990391,0.787030368702505,0.1568,0.9880000000000001,0.10091440824390166,1963,MODIS/061/MOD13Q1
Chinchiná,2005-03-06,0.7622572871292436,0.7987121739640115,0.0356,0.9368000000000001,0.12521037689248274,1944,MODIS/061/MOD13Q1
La Dorada,2005-03-06,0.6691149747927759,0.6776488044438834,0.1739,0.9474,0.09961009714571505,9281,MODIS/061/MOD13Q1
Belalcázar,2005-03-06,0.6944254745246128,0.7597813953488374,0.07150000000000001,0.9849,0.16747579458058284,1968,MODIS/061/MOD13Q1
San José,2005-03-06,0.6765578216163363,0.7521911240149316,0.0878,0.999,0.17600226679465378,1095,MODIS/061/MOD13Q1
Marquetalia,2005-03-06,0.7042071370848956,0.810500514653324,0.046400000000000004,0.9788,0.212553773361733,1587,MODIS/061/MOD13Q1
Norcasia,2005-03-06,0.7954827998099125,0.810852016108734,0.08510000000000001,0.9986,0.08994644340378218,3901,MODIS/061/MOD13Q1
Manizales,2005-03-06,0.7493679360277876,0.7871836415399215,0.0492,0.9964000000000001,0.1382579429862142,7419,MODIS/061/MOD13Q1
Villamaria,2005-03-22,0.5345771691399223,0.5894015180265655,-0.060500000000000005,0.9947,0.2892530539455486,7588,MODIS/061/MOD13Q1
Risaralda,2005-03-22,0.702891402853853,0.7755908219526678,0.0869,0.9812000000000001,0.18123173739918183,1602,MODIS/061/MOD13Q1
Neira,2005-03-22,0.6823633812846891,0.771629982525814,0.0152,0.9894000000000001,0.21392658631668587,6263,MODIS/061/MOD13Q1
Anserma,2005-03-22,0.7072987681237275,0.7675829810687754,0.0592,0.9768,0.16246936503684337,3594,MODIS/061/MOD13Q1
Manzanares,2005-03-22,0.708463252587731,0.79528838041672,0.0281,0.9848,0.20647087671238054,3362,MODIS/061/MOD13Q1
Aranzazu,2005-03-22,0.7405514044737458,0.8104165694821314,0.051000000000000004,0.9924000000000001,0.1909599927608865,2579,MODIS/061/MOD13Q1
Marulanda,2005-03-22,0.4741678133598081,0.5446249892780559,0.007200000000000001,0.999,0.259502282766395,6340,MODIS/061/MOD13Q1
Filadelfia,2005-03-22,0.7213718323324744,0.7638980007656643,0.0519,0.9937,0.147456722917589,3244,MODIS/061/MOD13Q1
Salamina,2005-03-22,0.7504573654047847,0.7676745960026736,0.024800000000000003,0.9782000000000001,0.1187753741590714,6505,MODIS/061/MOD13Q1
Marmato,2005-03-22,0.5733661441506122,0.6075499999999999,0.07970000000000001,0.9813000000000001,0.20565683022807432,665,MODIS/061/MOD13Q1
Supia,2005-03-22,0.6779644675562856,0.7365371199826896,0.0902,0.9797,0.17427402301486983,2094,MODIS/061/MOD13Q1
Pensilvania,2005-03-22,0.5952658020622741,0.6856771588785048,0.0223,0.9909,0.2546019273420773,8357,MODIS/061/MOD13Q1
Riosucio,2005-03-22,0.703340112136864,0.7830942832306391,0.0274,0.9981000000000001,0.20708484507806352,6439,MODIS/061/MOD13Q1
Pácora,2005-03-22,0.7535163756994178,0.7871896987928577,0.0487,0.9966,0.1324627883325252,4323,MODIS/061/MOD13Q1
Victoria,2005-03-22,0.7788373908531521,0.7830906782796797,0.0408,0.9912000000000001,0.08454497399072905,9336,MODIS/061/MOD13Q1
Aguadas,2005-03-22,0.7183301605448057,0.7597075155037962,0.0487,0.9991000000000001,0.14675681721676065,7981,MODIS/061/MOD13Q1
Samaná,2005-03-22,0.5616313859289879,0.6192815347926071,0.015000000000000001,0.9975,0.2630014820935256,12605,MODIS/061/MOD13Q1
Viterbo,2005-03-22,0.7287240094258982,0.7519648980995784,0.2901,0.9644,0.0978182974752697,1974,MODIS/061/MOD13Q1
La Merced,2005-03-22,0.7246986674201593,0.7598333437046255,0.1071,0.995,0.14527595859676437,1533,MODIS/061/MOD13Q1
Palestina,2005-03-22,0.778301026577408,0.7986791237498134,0.1356,0.9856,0.09917804878429198,1963,MODIS/061/MOD13Q1
Chinchiná,2005-03-22,0.7667868987146687,0.8005001533101042,-0.0548,0.9638000000000001,0.13134984633473443,1944,MODIS/061/MOD13Q1
La Dorada,2005-03-22,0.6789613309485928,0.6932617957667695,0.16970000000000002,0.9993000000000001,0.10519225461258216,9281,MODIS/061/MOD13Q1
Belalcázar,2005-03-22,0.7383134416667743,0.7792241964285713,0.1369,0.9660000000000001,0.13205543338445805,1968,MODIS/061/MOD13Q1
San José,2005-03-22,0.704017196816696,0.756462084921067,0.0935,0.9884000000000001,0.15307926185656243,1095,MODIS/061/MOD13Q1
Marquetalia,2005-03-22,0.7105085495287808,0.8058590180360722,0.07440000000000001,0.9848,0.20744961879737756,1587,MODIS/061/MOD13Q1
Norcasia,2005-03-22,0.7389251245710405,0.7831871448696878,0.0577,0.9831000000000001,0.15310294942371924,3901,MODIS/061/MOD13Q1
Manizales,2005-03-22,0.6868188533341012,0.7717020533950827,0.0263,0.9971000000000001,0.20400715863334953,7420,MODIS/061/MOD13Q1
Villamaria,2005-04-07,0.5168915873030355,0.5516719570759474,-0.0441,0.995,0.24910746193983901,7588,MODIS/061/MOD13Q1
Risaralda,2005-04-07,0.7813905853329852,0.8145946320411868,0.2106,0.9087000000000001,0.10737975819009941,1602,MODIS/061/MOD13Q1
Neira,2005-04-07,0.6915591927483159,0.7714227109974426,0.064,0.9991000000000001,0.17420112053116646,6263,MODIS/061/MOD13Q1
Anserma,2005-04-07,0.7896935937529197,0.8145548292090489,0.11810000000000001,0.9819,0.09226231023001606,3594,MODIS/061/MOD13Q1
Manzanares,2005-04-07,0.6288344251836732,0.6582461316635085,0.057300000000000004,0.9849,0.17297688850391862,3361,MODIS/061/MOD13Q1
