municipio,date,anio,mes,et_real_mm,et_potencial_mm,n_pixeles
Victoria,2020-06-01,2020,6,121.49830990128622,121.80237810349983,39
Aguadas,2020-06-01,2020,6,102.86680701754388,102.86680701754388,38
Samaná,2020-06-01,2020,6,112.63691275167784,112.63691275167784,56
Viterbo,2020-06-01,2020,6,103.85995525727071,103.85995525727071,11
La Merced,2020-06-01,2020,6,107.56877358490567,107.56877358490567,9
Palestina,2020-06-01,2020,6,105.98568232662195,105.98568232662195,12
Chinchiná,2020-06-01,2020,6,102.4728036669213,102.4728036669213,14
La Dorada,2020-06-01,2020,6,123.54576993304931,123.56005782105909,48
Belalcázar,2020-06-01,2020,6,103.4117994100295,103.4117994100295,14
San José,2020-06-01,2020,6,104.22420470262794,104.22420470262794,7
Marquetalia,2020-06-01,2020,6,109.23986988847584,109.23986988847584,11
Norcasia,2020-06-01,2020,6,119.95746323529414,119.95746323529414,24
Manizales,2020-06-01,2020,6,96.45897970794616,96.45897970794616,35
Villamaria,2020-07-01,2020,7,87.07422434367544,87.11736735817884,33
Risaralda,2020-07-01,2020,7,110.06182994454716,110.06182994454716,15
Neira,2020-07-01,2020,7,101.7659873188406,102.17604166666668,33
Anserma,2020-07-01,2020,7,110.12977190876353,110.12977190876353,21
Manzanares,2020-07-01,2020,7,104.91089987325734,105.03561470215467,18
Aranzazu,2020-07-01,2020,7,97.69296089385475,98.723687150838,14
Marulanda,2020-07-01,2020,7,91.33827325322655,91.66270582999559,34
Filadelfia,2020-07-01,2020,7,112.26705729166667,112.26705729166667,15
Salamina,2020-07-01,2020,7,96.67488141440273,96.90827943078911,34
Marmato,2020-07-01,2020,7,110.96359447004609,110.96359447004609,7
Supia,2020-07-01,2020,7,109.70982142857146,109.70982142857146,14
Pensilvania,2020-07-01,2020,7,99.71055973266503,99.86195488721808,40
Riosucio,2020-07-01,2020,7,101.18859687228499,101.18859687228499,30
Pácora,2020-07-01,2020,7,104.20432379713912,104.20432379713912,21
Victoria,2020-07-01,2020,7,121.07790906371521,121.13511815734368,39
Aguadas,2020-07-01,2020,7,103.65038596491227,103.65038596491227,38
Samaná,2020-07-01,2020,7,112.36942457916163,112.36942457916163,56
Viterbo,2020-07-01,2020,7,109.15376584638331,109.15376584638331,11
La Merced,2020-07-01,2020,7,110.54283018867922,110.54283018867922,9
Palestina,2020-07-01,2020,7,112.4626398210291,112.4626398210291,12
Chinchiná,2020-07-01,2020,7,110.33239113827348,110.33239113827348,14
La Dorada,2020-07-01,2020,7,122.2862751065125,122.33520998174075,48
Belalcázar,2020-07-01,2020,7,109.85294985250738,109.85294985250738,14
San José,2020-07-01,2020,7,110.03236514522824,110.03236514522824,7
Marquetalia,2020-07-01,2020,7,110.21747211895912,111.13197026022307,11
Norcasia,2020-07-01,2020,7,116.96562500000002,116.96562500000002,24
Manizales,2020-07-01,2020,7,100.85162146785511,101.17417030153612,35
Villamaria,2020-08-01,2020,8,88.86904718193499,90.11490728841564,33
Risaralda,2020-08-01,2020,8,114.1514787430684,114.1514787430684,15
Neira,2020-08-01,2020,8,105.24950181159421,105.99341032608697,33
Anserma,2020-08-01,2020,8,113.79143657462987,113.79143657462987,21
Manzanares,2020-08-01,2020,8,107.63231939163504,107.63231939163504,18
Aranzazu,2020-08-01,2020,8,99.75262569832402,101.87111731843576,14
Marulanda,2020-08-01,2020,8,93.89906542056082,94.73035157988433,34
Filadelfia,2020-08-01,2020,8,116.79908854166669,116.79908854166669,15
Salamina,2020-08-01,2020,8,99.2718197498922,99.5159982751186,34
Marmato,2020-08-01,2020,8,114.43571428571428,114.43571428571428,7
Supia,2020-08-01,2020,8,113.6868131868132,113.6868131868132,14
Pensilvania,2020-08-01,2020,8,102.70225563909776,102.71112781954889,40
Riosucio,2020-08-01,2020,8,104.07104691572547,104.07104691572547,30
Pácora,2020-08-01,2020,8,107.58400520156046,107.58400520156046,21
Victoria,2020-08-01,2020,8,127.36398444510921,127.36398444510921,39
Aguadas,2020-08-01,2020,8,106.73475438596493,106.73475438596493,38
Samaná,2020-08-01,2020,8,116.56058972384194,116.56058972384194,56
Viterbo,2020-08-01,2020,8,112.44168530947053,112.44168530947053,11
La Merced,2020-08-01,2020,8,114.48330188679245,114.48330188679245,9
Palestina,2020-08-01,2020,8,116.30484712900822,116.30484712900822,12
Chinchiná,2020-08-01,2020,8,114.30603514132925,114.30603514132925,14
La Dorada,2020-08-01,2020,8,128.99391357273282,128.99391357273282,48
Belalcázar,2020-08-01,2020,8,114.02057522123896,114.02057522123896,14
San José,2020-08-01,2020,8,114.54301521438454,114.54301521438454,7
Marquetalia,2020-08-01,2020,8,114.42379182156137,114.42379182156137,11
Norcasia,2020-08-01,2020,8,123.2646691176471,123.2646691176471,24
Manizales,2020-08-01,2020,8,103.07589607434097,104.73682912952779,35
Villamaria,2020-09-01,2020,9,93.98577198457868,93.98577198457868,33
Risaralda,2020-09-01,2020,9,114.47199630314233,114.47199630314233,15
Neira,2020-09-01,2020,9,107.7681838768116,107.7681838768116,33
Anserma,2020-09-01,2020,9,113.85046018407367,113.85046018407367,21
Manzanares,2020-09-01,2020,9,108.89826784959868,108.9584283903676,18
Aranzazu,2020-09-01,2020,9,104.15033519553073,104.15033519553073,14
Marulanda,2020-09-01,2020,9,96.897886070316,96.897886070316,34
Filadelfia,2020-09-01,2020,9,116.23598090277781,116.23598090277781,15
Salamina,2020-09-01,2020,9,101.2733074601121,101.2733074601121,34
Marmato,2020-09-01,2020,9,114.86612903225807,114.86612903225807,7
Supia,2020-09-01,2020,9,114.22328296703297,114.22328296703297,14
Pensilvania,2020-09-01,2020,9,104.8314619883041,104.9118964076859,40
Riosucio,2020-09-01,2020,9,104.54713292788882,104.54713292788882,30
Pácora,2020-09-01,2020,9,108.89167750325097,108.89167750325097,21
Victoria,2020-09-01,2020,9,128.17078970984147,128.2306610828597,39
Aguadas,2020-09-01,2020,9,108.30696491228069,108.30696491228069,38
Samaná,2020-09-01,2020,9,117.33915722301683,117.3638574100561,56
Viterbo,2020-09-01,2020,9,113.76964951528709,113.76964951528709,11
