municipio,variable,mae_seasonal,mae_rf,modelo_seleccionado
Riosucio,temp_mean,0.6269418306981561,0.4278102515164233,rf
Riosucio,et_real_mm,7.80881922321975,9.133974104228775,seasonal
Riosucio,ndvi_mean,0.08060785430314298,0.09246629719125554,seasonal
Risaralda,precip_mm,61.76778941450604,63.591930679777946,seasonal
Risaralda,temp_mean,0.38732450640342886,0.4005319198412126,seasonal
Risaralda,et_real_mm,7.224802748682137,9.627037422811584,seasonal
Risaralda,ndvi_mean,0.034086351655874376,0.044140773061618704,seasonal
Salamina,precip_mm,46.133801445906144,57.12144414264025,seasonal
Salamina,temp_mean,0.4652372633715171,0.6438096750424224,seasonal
Salamina,et_real_mm,8.192917405331157,8.564832240333033,seasonal
Salamina,ndvi_mean,0.06800032089592228,0.07768452935193684,seasonal
Samaná,precip_mm,93.61254215190777,105.23788013377423,seasonal
Samaná,temp_mean,0.7315694864001347,0.8604216913739917,seasonal
Samaná,et_real_mm,11.014010067114105,11.233188646196119,seasonal
Samaná,ndvi_mean,0.06935391492461879,0.09231054392233981,seasonal
San José,precip_mm,62.079544080883004,68.03558044207682,seasonal
San José,temp_mean,0.34737097641564085,0.37823537261674167,seasonal
San José,et_real_mm,7.714591977869989,9.591621171169098,seasonal
San José,ndvi_mean,0.03566888207294628,0.040209537442801604,seasonal
Supia,precip_mm,58.89278852765976,55.620302442774005,rf
Supia,temp_mean,0.5399815199428536,0.5370656979781564,rf
Supia,et_real_mm,10.326288728632482,13.101090413859106,seasonal
Supia,ndvi_mean,0.05220494620001123,0.06730690528774727,seasonal
Victoria,precip_mm,79.84896466491975,81.17876813217308,seasonal
Victoria,temp_mean,0.856389676488667,0.8800886011526412,seasonal
Victoria,et_real_mm,14.571752404139103,17.90159778565492,seasonal
Victoria,ndvi_mean,0.048275622715642674,0.05832705464188249,seasonal
Villamaria,precip_mm,41.38332939350373,48.380626899336264,seasonal
Villamaria,temp_mean,0.4142431002197627,0.3621973510041341,rf
Villamaria,et_real_mm,7.13191818126186,8.483580316530302,seasonal
Villamaria,ndvi_mean,0.14554103466346774,0.15107574164453239,seasonal
Viterbo,precip_mm,68.32945568927431,82.66263432438413,seasonal
Viterbo,temp_mean,0.38204887995354603,0.4295726722343907,seasonal
Viterbo,et_real_mm,7.3575427403540745,9.754289413343669,seasonal
Viterbo,ndvi_mean,0.017384973130301854,0.022472468168701635,seasonal
