municipio,anio,precip_mm_sum,precip_mm_mean,precip_mm_std,temp_mean_mean,temp_mean_std,ndvi_mean_mean,ndvi_mean_min,et_real_mm_sum,balance_hidrico_mm_mean,balance_hidrico_mm_min
La Merced,2026,2171.096156171862,180.92467968098848,63.6374071112841,19.038593170601985,0.24715304926614295,0.722554068509924,0.6998427468099617,1164.8287735849058,83.85561521557968,9.415490241405251
La Merced,2027,2171.096156171862,180.92467968098848,63.6374071112841,19.038593170601985,0.24715304926614295,0.722554068509924,0.6998427468099617,1164.8287735849058,83.85561521557968,9.415490241405251
Manizales,2025,2400.615690086111,200.05130750717592,98.84050003582449,15.892788746089265,0.26257836039423843,0.6941578047040374,0.5715212131411571,0.0,,
Manizales,2026,2145.0557220936726,178.75464350780604,55.62260407593112,15.708869535632962,0.05923090242555873,0.6317883082863144,0.5905805947861167,1060.0487682533662,90.41724615335886,23.66686405335561
Manizales,2027,2145.0557220936726,178.75464350780604,55.62260407593112,15.602297097135766,0.03345165355684646,0.6317883082863144,0.5905805947861167,1060.0487682533662,90.41724615335886,23.66686405335561
Manzanares,2025,3524.714820455671,293.7262350379726,160.0262316358013,16.769671235758764,0.2564122201742865,0.6909841446878815,0.3416349801333001,0.0,,
Manzanares,2026,2874.5946398817964,239.54955332348302,77.509466580208,17.128075045709622,0.33040474112125584,0.659288072259533,0.5592873274140301,1094.5253379805665,148.33910849176914,19.561348782485112
Manzanares,2027,2874.5946398817964,239.54955332348302,77.509466580208,17.128075045709622,0.33040474112125584,0.659288072259533,0.5592873274140301,1094.5253379805665,148.33910849176914,19.561348782485112
Marmato,2025,2584.149625076165,215.34580208968043,113.81538742798098,19.037225836355734,0.3406960664370802,0.6428501764716843,0.4825554198468228,0.0,,
Marmato,2026,2301.9082581920784,191.8256881826732,62.83025686156843,19.152236434751362,0.263648428313534,0.6807683893528772,0.6321009366800019,1169.6217857142858,94.35720603981603,13.4487858886215
Marmato,2027,2301.9082581920784,191.8256881826732,62.83025686156843,19.152236434751362,0.263648428313534,0.6807683893528772,0.6321009366800019,1169.6217857142858,94.35720603981603,13.4487858886215
Marquetalia,2025,4526.995448882631,377.2496207402192,191.46931014811574,18.701764694644115,0.3715780974711134,0.73058346642371,0.3887685665018904,0.0,,
Marquetalia,2026,3735.0324252651926,311.2527021054327,96.63645486130325,18.93231024408551,0.19822100525662806,0.7064651034872177,0.6102263733315676,1170.7142286245355,213.69318305338808,13.272516798033905
Marquetalia,2027,3735.0324252651926,311.2527021054327,96.63645486130325,19.005904383924456,0.11782416275377777,0.7064651034872177,0.6102263733315676,1170.7142286245355,213.69318305338808,13.272516798033905
Marulanda,2025,2649.138541161882,220.7615450968235,116.28741184242452,12.964675068408786,0.21064146854450705,0.6140946168171961,0.2747888089536935,0.0,,
Marulanda,2026,2143.6227359690897,178.63522799742415,58.31654978591919,13.145635970154181,0.16271515256024882,0.5854768991876003,0.5069500150274537,945.8845460614156,99.8115158256395,24.095245680567004
Marulanda,2027,2143.6227359690897,178.63522799742415,58.31654978591919,13.145635970154181,0.16271515256024882,0.5854768991876003,0.5069500150274537,945.8845460614156,99.8115158256395,24.095245680567004
Neira,2025,2386.7596555725363,198.89663796437802,103.46668077341253,15.958813157501675,0.26997045592936597,0.695107680003813,0.5681832568492964,0.0,,
Neira,2026,2081.5824475637223,173.46520396364352,62.99816666795037,16.036095345676078,0.04451128787336465,0.6435212601309855,0.5892437430531084,1070.4003442028986,84.26517528006865,14.670872165227564
Neira,2027,2081.5824475637223,173.46520396364352,62.99816666795037,16.066160054620973,0.005114535739905631,0.6435212601309855,0.5892437430531084,1070.4003442028986,84.26517528006865,14.670872165227564
Norcasia,2025,4540.289179955425,378.35743166295214,156.6490888288565,24.73896720264649,0.8202777344913806,0.7453322156576361,0.4461560120210381,0.0,,
Norcasia,2026,3808.9907717694687,317.4158976474557,107.28039175138387,24.936175863356908,0.8273957605527757,0.7535966925861987,0.713636193957666,1283.4509375000002,210.46165285578903,67.12831233374644
Norcasia,2027,3808.9907717694687,317.4158976474557,107.28039175138387,24.936175863356908,0.8273957605527757,0.7535966925861987,0.713636193957666,1283.4509375000002,210.46165285578903,67.12831233374644
Palestina,2025,2876.941383323728,239.74511527697734,129.22284565110303,18.148523547026457,0.2864517091176637,0.746469627110023,0.6395346876583613,0.0,,
Palestina,2026,2515.6994837917437,209.64162364931198,55.10773626618434,18.059471417429204,0.19522587225028382,0.7589775311319403,0.7355012274725207,1189.4128038777033,110.5238899928367,38.2179555199196
Palestina,2027,2515.6994837917437,209.64162364931198,55.10773626618434,17.899464794836273,0.17922312444584187,0.7589775311319403,0.7355012274725207,1189.4128038777033,110.5238899928367,38.2179555199196
Pensilvania,2025,3685.8527356896125,307.15439464080106,140.5522979013247,16.106786724975656,0.30508871520282643,0.6251913001148731,0.2736673656402681,0.0,,
