sim,prima_total,indemnizacion_total,resultado_total,loss_ratio
253,358151507.8193096,282089113.65553427,76062394.16377532,0.7876250902114045
254,381239332.46585554,236968673.8412324,144270658.62462315,0.6215745692043875
255,368140916.47319835,270855896.6025393,97285019.87065905,0.7357397248785801
256,441401825.5712607,335883878.30387944,105517947.26738125,0.7609480950133809
257,382405958.21722573,350415275.0827686,31990683.13445711,0.916343659278748
258,421670079.66082484,194247126.0591441,227422953.60168073,0.4606613924691764
259,423868409.2128005,297137273.47442317,126731135.73837733,0.7010130196450834
260,424476703.49798954,367038959.4193804,57437744.07860911,0.8646857563553398
261,385460627.83628255,284597320.1089845,100863307.72729808,0.7383304533760632
262,384200193.93962675,301310341.09335285,82889852.8462739,0.7842534851523286
263,430681542.26934797,342220631.22392875,88460911.04541922,0.7946025023981738
264,452002552.04545206,341799658.0066967,110202894.03875536,0.7561896641068662
265,426602219.8951431,258423750.31895345,168178469.57618964,0.6057721649513986
266,374924319.0943194,281233939.2451579,93690379.8491615,0.7501085550398989
267,414203623.8704093,402970404.80510414,11233219.065305173,0.9728799594741844
268,400682540.6130447,233854680.53891474,166827860.07412994,0.5836408049652397
269,438169537.6133169,296995895.829611,141173641.7837059,0.6778104599587862
270,422857725.48334134,316275787.21629393,106581938.2670474,0.7479484662477894
271,402451183.5748654,351127259.97568065,51323923.59918475,0.8724716793145242
272,413162999.8764045,262879033.87309808,150283966.00330645,0.636259863423726
273,388880513.56451654,280392051.4338843,108488462.13063222,0.7210236606195141
274,380007704.19330585,261088917.3201566,118918786.87314925,0.6870621685799914
275,404730608.4289493,291823964.266079,112906644.16287029,0.7210326033873686
276,447626600.4386788,302687810.47755605,144938789.96112275,0.6762060390980312
277,383312223.9098947,292588861.2267616,90723362.68313313,0.7633173245618707
278,414202722.9883348,312809591.9497296,101393131.03860515,0.7552089220778476
279,382952815.6201483,220830158.14564806,162122657.47450024,0.5766510889547551
280,353248561.2987247,262928646.484477,90319914.8142477,0.7443162557203774
281,371408312.8408238,316851605.6088106,54556707.232013226,0.8531085456469176
282,370841561.67006814,227478296.21244195,143363265.4576262,0.6134110081620943
283,416316302.39372927,250754290.27393177,165562012.1197975,0.602316769322144
284,354668446.79345423,223542151.69549727,131126295.09795696,0.6302848582007633
