municipio,anio,area_ha,cluster,tipo_estimacion,rendimiento_real_t_ha,rendimiento_esperado_t_ha,produccion_esperada_t,precio_USD_ton,indice_riesgo,nivel_riesgo,probabilidad_perdida,payout,monto_asegurado_USD,prima_pura_USD,prima_comercial_USD,indemnizacion_estimada_USD
CHINCHINÁ,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,2.2567051922123365,Bajo,0.3471264367816092,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
CHINCHINÁ,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.35116070966381635,Medio,0.42071197411003236,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
CHINCHINÁ,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.35116070966381635,Medio,0.42071197411003236,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
FILADELFIA,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.4989595206611883,Alto,0.528169014084507,0.306948782050342,9215.552255999999,2240.49035848234,2912.6374660270426,2828.702540900481
FILADELFIA,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.12623395277700264,Medio,0.45652173913043476,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
FILADELFIA,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.12623395277700264,Medio,0.45652173913043476,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
LA MERCED,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.8581483314258274,Alto,0.5679012345679012,0.5596267228211355,9215.552255999999,2240.49035848234,2912.6374660270426,5157.269308012201
LA MERCED,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.11407081076416806,Medio,0.4562043795620438,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
LA MERCED,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.11407081076416806,Medio,0.4562043795620438,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
MANIZALES,2025,1.0,1,futura,,1.1522666666666666,1.1522666666666666,7997.76,1.6173938521539244,Bajo,0.35545023696682465,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
MANIZALES,2026,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.9454919016161295,Bajo,0.3717277486910995,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
MANIZALES,2027,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.9454919016161295,Bajo,0.3717277486910995,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
MANZANARES,2025,1.0,1,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.4170728420061591,Alto,0.5,0.2546364229179053,9215.552255999999,2240.49035848234,2912.6374660270426,2346.6152616808718
MANZANARES,2026,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.5764520575325998,Bajo,0.3884057971014493,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
MANZANARES,2027,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.5764520575325998,Bajo,0.3884057971014493,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
MARMATO,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,0.12324629806272992,Medio,0.45454545454545453,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
MARMATO,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,-0.13972371683449522,Alto,0.4660633484162896,0.09713565251171062,7857.467717333333,1910.312065270934,2483.4056848522146,763.2402538128747
MARMATO,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,-0.13972371683449522,Alto,0.4660633484162896,0.09713565251171062,7857.467717333333,1910.312065270934,2483.4056848522146,763.2402538128747
MARQUETALIA,2025,1.0,3,futura,,1.1522666666666666,1.1522666666666666,7997.76,-1.3411231052627186,Alto,0.6071428571428571,0.9459447330379764,9215.552255999999,2240.49035848234,2912.6374660270426,8717.40311859944
MARQUETALIA,2026,1.0,3,futura,,1.1522666666666666,1.1522666666666666,6819.14,-0.6731791666294397,Alto,0.5478260869565217,0.42517213561030964,7857.467717333333,1910.312065270934,2483.4056848522146,3340.776329867678
