threshold,TP,TN,FP,FN,TPR,FPR,FN_rate,FP_rate,score,youden
2.1370699977038257,151,15,283,1,0.993421052631579,0.9496644295302014,0.0022222222222222222,0.6288888888888889,0.6333333333333334,0.04375662310137762
2.169202779830468,151,15,283,1,0.993421052631579,0.9496644295302014,0.0022222222222222222,0.6288888888888889,0.6333333333333334,0.04375662310137762
2.2013355619571096,151,15,283,1,0.993421052631579,0.9496644295302014,0.0022222222222222222,0.6288888888888889,0.6333333333333334,0.04375662310137762
2.233468344083752,151,14,284,1,0.993421052631579,0.9530201342281879,0.0022222222222222222,0.6311111111111111,0.6355555555555555,0.040400918403391106
2.2656011262103934,151,14,284,1,0.993421052631579,0.9530201342281879,0.0022222222222222222,0.6311111111111111,0.6355555555555555,0.040400918403391106
2.297733908337036,151,13,285,1,0.993421052631579,0.9563758389261745,0.0022222222222222222,0.6333333333333333,0.6377777777777778,0.03704521370540448
2.3298666904636773,151,12,286,1,0.993421052631579,0.959731543624161,0.0022222222222222222,0.6355555555555555,0.64,0.03368950900741796
2.361999472590319,151,11,287,1,0.993421052631579,0.9630872483221476,0.0022222222222222222,0.6377777777777778,0.6422222222222222,0.030333804309431334
2.3941322547169612,151,11,287,1,0.993421052631579,0.9630872483221476,0.0022222222222222222,0.6377777777777778,0.6422222222222222,0.030333804309431334
2.4262650368436027,151,11,287,1,0.993421052631579,0.9630872483221476,0.0022222222222222222,0.6377777777777778,0.6422222222222222,0.030333804309431334
2.458397818970245,151,11,287,1,0.993421052631579,0.9630872483221476,0.0022222222222222222,0.6377777777777778,0.6422222222222222,0.030333804309431334
2.4905306010968866,151,11,287,1,0.993421052631579,0.9630872483221476,0.0022222222222222222,0.6377777777777778,0.6422222222222222,0.030333804309431334
2.522663383223529,151,11,287,1,0.993421052631579,0.9630872483221476,0.0022222222222222222,0.6377777777777778,0.6422222222222222,0.030333804309431334
2.5547961653501705,151,11,287,1,0.993421052631579,0.9630872483221476,0.0022222222222222222,0.6377777777777778,0.6422222222222222,0.030333804309431334
2.586928947476812,152,10,288,0,1.0,0.9664429530201343,0.0,0.64,0.64,0.03355704697986572
2.6190617296034544,152,10,288,0,1.0,0.9664429530201343,0.0,0.64,0.64,0.03355704697986572
2.651194511730096,152,10,288,0,1.0,0.9664429530201343,0.0,0.64,0.64,0.03355704697986572
2.6833272938567383,152,10,288,0,1.0,0.9664429530201343,0.0,0.64,0.64,0.03355704697986572
2.71546007598338,152,10,288,0,1.0,0.9664429530201343,0.0,0.64,0.64,0.03355704697986572
2.747592858110022,152,10,288,0,1.0,0.9664429530201343,0.0,0.64,0.64,0.03355704697986572
2.7797256402366637,152,10,288,0,1.0,0.9664429530201343,0.0,0.64,0.64,0.03355704697986572
2.811858422363305,152,10,288,0,1.0,0.9664429530201343,0.0,0.64,0.64,0.03355704697986572
2.8439912044899476,152,10,288,0,1.0,0.9664429530201343,0.0,0.64,0.64,0.03355704697986572
2.876123986616589,152,8,290,0,1.0,0.9731543624161074,0.0,0.6444444444444445,0.6444444444444445,0.02684563758389258
2.9082567687432315,152,8,290,0,1.0,0.9731543624161074,0.0,0.6444444444444445,0.6444444444444445,0.02684563758389258
2.940389550869873,152,8,290,0,1.0,0.9731543624161074,0.0,0.6444444444444445,0.6444444444444445,0.02684563758389258
2.9725223329965145,152,8,290,0,1.0,0.9731543624161074,0.0,0.6444444444444445,0.6444444444444445,0.02684563758389258
3.004655115123157,152,7,291,0,1.0,0.9765100671140939,0.0,0.6466666666666666,0.6466666666666666,0.023489932885906062
3.0367878972497984,152,6,292,0,1.0,0.9798657718120806,0.0,0.6488888888888888,0.6488888888888888,0.020134228187919434
3.0689206793764408,152,6,292,0,1.0,0.9798657718120806,0.0,0.6488888888888888,0.6488888888888888,0.020134228187919434
3.1010534615030823,152,6,292,0,1.0,0.9798657718120806,0.0,0.6488888888888888,0.6488888888888888,0.020134228187919434
3.1331862436297246,152,5,293,0,1.0,0.9832214765100671,0.0,0.6511111111111111,0.6511111111111111,0.016778523489932917
3.165319025756366,152,5,293,0,1.0,0.9832214765100671,0.0,0.6511111111111111,0.6511111111111111,0.016778523489932917
3.1974518078830076,152,5,293,0,1.0,0.9832214765100671,0.0,0.6511111111111111,0.6511111111111111,0.016778523489932917
3.22958459000965,152,4,294,0,1.0,0.9865771812080537,0.0,0.6533333333333333,0.6533333333333333,0.01342281879194629
3.2617173721362915,152,4,294,0,1.0,0.9865771812080537,0.0,0.6533333333333333,0.6533333333333333,0.01342281879194629
3.293850154262934,152,4,294,0,1.0,0.9865771812080537,0.0,0.6533333333333333,0.6533333333333333,0.01342281879194629
3.3259829363895754,152,4,294,0,1.0,0.9865771812080537,0.0,0.6533333333333333,0.6533333333333333,0.01342281879194629
3.358115718516218,152,4,294,0,1.0,0.9865771812080537,0.0,0.6533333333333333,0.6533333333333333,0.01342281879194629
3.3902485006428593,152,4,294,0,1.0,0.9865771812080537,0.0,0.6533333333333333,0.6533333333333333,0.01342281879194629
3.422381282769501,152,3,295,0,1.0,0.9899328859060402,0.0,0.6555555555555556,0.6555555555555556,0.010067114093959773
3.454514064896143,152,3,295,0,1.0,0.9899328859060402,0.0,0.6555555555555556,0.6555555555555556,0.010067114093959773
3.4866468470227847,152,2,296,0,1.0,0.9932885906040269,0.0,0.6577777777777778,0.6577777777777778,0.006711409395973145
3.518779629149427,152,2,296,0,1.0,0.9932885906040269,0.0,0.6577777777777778,0.6577777777777778,0.006711409395973145
3.5509124112760686,152,2,296,0,1.0,0.9932885906040269,0.0,0.6577777777777778,0.6577777777777778,0.006711409395973145
3.58304519340271,152,2,296,0,1.0,0.9932885906040269,0.0,0.6577777777777778,0.6577777777777778,0.006711409395973145
3.6151779755293525,152,2,296,0,1.0,0.9932885906040269,0.0,0.6577777777777778,0.6577777777777778,0.006711409395973145
3.647310757655994,152,2,296,0,1.0,0.9932885906040269,0.0,0.6577777777777778,0.6577777777777778,0.006711409395973145
3.6794435397826364,152,2,296,0,1.0,0.9932885906040269,0.0,0.6577777777777778,0.6577777777777778,0.006711409395973145
3.711576321909278,152,2,296,0,1.0,0.9932885906040269,0.0,0.6577777777777778,0.6577777777777778,0.006711409395973145
3.7437091040359203,152,2,296,0,1.0,0.9932885906040269,0.0,0.6577777777777778,0.6577777777777778,0.006711409395973145
3.7758418861625618,152,1,297,0,1.0,0.9966442953020134,0.0,0.66,0.66,0.003355704697986628
3.8079746682892033,152,1,297,0,1.0,0.9966442953020134,0.0,0.66,0.66,0.003355704697986628
3.8401074504158457,152,1,297,0,1.0,0.9966442953020134,0.0,0.66,0.66,0.003355704697986628
3.872240232542487,152,1,297,0,1.0,0.9966442953020134,0.0,0.66,0.66,0.003355704697986628
3.9043730146691296,152,1,297,0,1.0,0.9966442953020134,0.0,0.66,0.66,0.003355704697986628
3.936505796795771,152,1,297,0,1.0,0.9966442953020134,0.0,0.66,0.66,0.003355704697986628
3.9686385789224135,152,1,297,0,1.0,0.9966442953020134,0.0,0.66,0.66,0.003355704697986628
4.000771361049055,152,0,298,0,1.0,1.0,0.0,0.6622222222222223,0.6622222222222223,0.0
