municipio,date,et_real_mm,ndvi_mean,precip_mm,temp_mean,anio,mes,tipo_dato
Manzanares,2026-07-01,90.8776172370089,0.7693191592437975,110.43896601949402,17.303294901014006,2026,7,pronosticado
Manzanares,2026-08-01,94.81486692015213,0.7208110114605644,169.098812390428,17.60848105232505,2026,8,pronosticado
Manzanares,2026-09-01,98.25045416138576,0.6881411719074373,207.45538686166194,17.684906292917564,2026,9,pronosticado
Manzanares,2026-10-01,89.95058090409805,0.5795943760506431,366.48928241877564,16.899317463131048,2026,10,pronosticado
Manzanares,2026-11-01,84.31053865652729,0.5988727780192699,320.02553159921456,16.534655432198218,2026,11,pronosticado
Manzanares,2026-12-01,88.43352978453743,0.6597166684529838,217.05457524961028,16.72744365851765,2026,12,pronosticado
Manzanares,2027-01-01,88.0255513307985,0.6561149003978756,184.6230537844243,16.996172558185542,2027,1,pronosticado
Manzanares,2027-02-01,87.65860583016479,0.5592873274140301,223.97566894226085,17.28715426163104,2027,2,pronosticado
Manzanares,2027-03-01,102.16894381073091,0.5883734397085758,304.7387087955018,17.247076827972872,2027,3,pronosticado
Manzanares,2027-04-01,91.46858048162234,0.6186192954274629,299.38009901680346,17.111517621196292,2027,4,pronosticado
Manzanares,2027-05-01,90.10581960287286,0.7146712133582052,303.50570167326697,17.063330334988436,2027,5,pronosticado
Manzanares,2027-06-01,88.46024926066755,0.7579355256735499,167.80885313035432,17.073550144437736,2027,6,pronosticado
Manzanares,2027-07-01,90.8776172370089,0.7693191592437975,110.43896601949402,17.303294901014006,2027,7,pronosticado
Manzanares,2027-08-01,94.81486692015213,0.7208110114605644,169.098812390428,17.60848105232505,2027,8,pronosticado
Manzanares,2027-09-01,98.25045416138576,0.6881411719074373,207.45538686166194,17.684906292917564,2027,9,pronosticado
Manzanares,2027-10-01,89.95058090409805,0.5795943760506431,366.48928241877564,16.899317463131048,2027,10,pronosticado
Manzanares,2027-11-01,84.31053865652729,0.5988727780192699,320.02553159921456,16.534655432198218,2027,11,pronosticado
Manzanares,2027-12-01,88.43352978453743,0.6597166684529838,217.05457524961028,16.72744365851765,2027,12,pronosticado
Marmato,2026-01-01,87.76011520737327,0.7327834232718157,101.20890109599478,19.355236179842095,2026,1,pronosticado
Marmato,2026-02-01,86.7216935483871,0.6988954165854446,128.8338099025694,19.56910380306719,2026,2,pronosticado
Marmato,2026-03-01,108.94496543778803,0.6650701253675725,186.65167395742543,19.39217650593703,2026,3,pronosticado
Marmato,2026-04-01,104.22496543778803,0.6321009366800019,250.24111615430238,19.223872214019636,2026,4,pronosticado
Marmato,2026-05-01,98.53500000000001,0.6751374247184788,259.73760130245216,19.165083622383104,2026,5,pronosticado
Marmato,2026-06-01,93.39390552995393,0.7063392552727025,159.21971720096457,18.982682635796785,2026,6,pronosticado
Marmato,2026-07-01,97.02218894009218,0.7245659090607943,122.83623597006734,19.171726537764066,2026,7,pronosticado
Marmato,2026-08-01,104.43073732718895,0.6905168031779395,173.3800530971955,19.299083382938097,2026,8,pronosticado
Marmato,2026-09-01,105.44407834101385,0.6791249615731174,188.7110302802409,19.264872868855814,2026,9,pronosticado
Marmato,2026-10-01,98.23368663594471,0.6484505264761472,304.9142703220137,18.7644349476648,2026,10,pronosticado
Marmato,2026-11-01,92.21050691244241,0.6329237589150557,253.87766711391455,18.659166906245826,2026,11,pronosticado
Marmato,2026-12-01,92.69994239631338,0.6833121311354569,172.29618179493758,18.979397612501913,2026,12,pronosticado
Marmato,2027-01-01,87.76011520737327,0.7327834232718157,101.20890109599478,19.355236179842095,2027,1,pronosticado
Marmato,2027-02-01,86.7216935483871,0.6988954165854446,128.8338099025694,19.56910380306719,2027,2,pronosticado
