municipio,date,anio,mes,et_real_mm,et_potencial_mm,n_pixeles
Victoria,2011-04-30,2011,4,105.2947651809752,105.2947651809752,39
Victoria,2011-05-31,2011,5,103.45892910559375,103.45892910559375,39
Victoria,2011-06-30,2011,6,98.06061920430754,98.06061920430754,39
Victoria,2011-07-31,2011,7,109.45026921926411,109.45026921926411,39
Victoria,2011-08-31,2011,8,122.07020640143588,122.07020640143588,39
Victoria,2011-09-30,2011,9,118.993104995513,118.993104995513,39
Victoria,2011-10-31,2011,10,96.51021537541126,96.51021537541126,39
Victoria,2011-11-30,2011,11,91.4418935088244,91.4418935088244,39
Victoria,2011-12-31,2011,12,99.84645527968888,99.84645527968888,39
Victoria,2012-01-31,2012,1,110.24850433742144,111.48037690696977,39
Victoria,2012-02-29,2012,2,110.0432994316482,123.23552198623987,39
Victoria,2012-03-31,2012,3,126.24908764582712,126.24908764582712,39
Victoria,2012-04-30,2012,4,108.96836673646422,108.96836673646422,39
Victoria,2012-05-31,2012,5,114.09020341011068,114.09020341011068,39
Victoria,2012-06-30,2012,6,109.86241399940172,114.1890816631768,39
Victoria,2012-07-31,2012,7,110.39093628477416,115.8447203110978,39
Victoria,2012-08-31,2012,8,119.80586299730784,120.422419982052,39
Victoria,2012-09-30,2012,9,112.26387974872873,125.74675441220464,39
Victoria,2012-10-31,2012,10,111.4390517499252,111.4390517499252,39
Victoria,2012-11-30,2012,11,110.3469638049656,110.3469638049656,39
Victoria,2012-12-31,2012,12,113.31420879449595,113.31420879449595,39
Victoria,2013-01-31,2013,1,83.87865689500447,127.87415495064312,39
Victoria,2013-02-28,2013,2,115.93685312593476,115.93685312593476,39
Victoria,2013-03-31,2013,3,132.24466048459468,132.24466048459468,39
Victoria,2013-04-30,2013,4,117.29877355668567,117.29877355668567,39
Victoria,2013-05-31,2013,5,105.58022734071194,105.58022734071194,39
Victoria,2013-06-30,2013,6,111.08254561770866,111.10453185761294,39
Victoria,2013-07-31,2013,7,97.95964702363148,119.66712533652408,39
Victoria,2013-08-31,2013,8,112.38194735267726,112.38194735267726,39
Victoria,2013-09-30,2013,9,115.36420879449598,115.36420879449598,39
Victoria,2013-10-31,2013,10,118.38042177684711,118.38042177684711,39
Victoria,2013-11-30,2013,11,100.89081663176788,100.89081663176788,39
Victoria,2013-12-31,2013,12,103.54998504337422,103.54998504337422,39
Victoria,2014-01-31,2014,1,109.94252168710736,118.76187556087346,39
Victoria,2014-02-28,2014,2,112.67512713131916,112.74706850134608,39
Victoria,2014-03-31,2014,3,129.99953634460067,129.99953634460067,39
Victoria,2014-04-30,2014,4,128.6111426862099,128.6111426862099,39
Victoria,2014-05-31,2014,5,106.71204008375707,106.71204008375707,39
Victoria,2014-06-30,2014,6,108.54131020041878,108.88784026323658,39
Victoria,2014-07-31,2014,7,99.43577624887826,121.98812443912654,39
Victoria,2014-08-31,2014,8,118.87938976966797,121.97265928806456,39
Victoria,2014-09-30,2014,9,118.76260843553692,118.76260843553692,39
Victoria,2014-10-31,2014,10,105.89187855219863,105.89187855219863,39
Victoria,2014-11-30,2014,11,107.63638947053543,107.63638947053543,39
Victoria,2014-12-31,2014,12,110.4256805264732,110.4256805264732,39
Victoria,2015-01-31,2015,1,118.59753215674542,132.75330541429852,39
Victoria,2015-02-28,2015,2,98.37961411905474,119.8643583607538,39
Victoria,2015-03-31,2015,3,121.93419084654504,121.93419084654504,39
Victoria,2015-04-30,2015,4,123.26531558480406,123.26531558480406,39
Victoria,2015-05-31,2015,5,118.77237511217471,120.84395752318274,39
Victoria,2015-06-30,2015,6,86.64763685312592,106.95846545019442,39
Victoria,2015-07-31,2015,7,102.69072689201316,109.79979060723902,39
Victoria,2015-08-31,2015,8,118.93109482500748,123.01030511516602,39
Victoria,2015-09-30,2015,9,123.61093329344898,130.23513311396948,39
Victoria,2015-10-31,2015,10,113.59092132814834,113.59092132814834,39
Victoria,2015-11-30,2015,11,106.43978462458868,106.43978462458868,39
Victoria,2015-12-31,2015,12,88.33535746335627,121.332799880347,39
Victoria,2016-01-31,2016,1,81.57120849536345,124.91728985940772,39
Victoria,2016-02-29,2016,2,48.6796290756805,122.8585103200718,39
Victoria,2016-03-31,2016,3,126.31283278492371,126.31283278492371,39
Victoria,2016-04-30,2016,4,111.5708345797188,111.5708345797188,39
Victoria,2016-05-31,2016,5,107.00889919234218,107.00889919234218,39
Victoria,2016-06-30,2016,6,95.52049057732576,104.919847442417,39
Victoria,2016-07-31,2016,7,106.5350134609632,109.78941070894405,39
Victoria,2016-08-31,2016,8,123.04971582411004,123.04971582411004,39
Victoria,2016-09-30,2016,9,118.28914148967996,118.28914148967996,39
Victoria,2016-10-31,2016,10,108.21159138498356,108.21159138498356,39
Victoria,2016-11-30,2016,11,97.41832186658688,97.41832186658688,39
Victoria,2016-12-31,2016,12,101.0393807956925,101.06217469338915,39
Victoria,2017-01-31,2017,1,100.19498953036194,114.87623392162727,39
Victoria,2017-02-28,2017,2,118.83069099611126,123.16850134609628,39
Victoria,2017-03-31,2017,3,112.87022135806164,121.28589590188452,39
Victoria,2017-04-30,2017,4,125.3368082560574,125.3368082560574,39
Victoria,2017-05-31,2017,5,112.73784026323662,112.73784026323662,39
Victoria,2017-06-30,2017,6,99.58911157642834,99.58911157642834,39
Victoria,2017-07-31,2017,7,95.1586897995812,111.62743045169007,39
Victoria,2017-08-31,2017,8,115.30329045767282,115.30329045767282,39
Victoria,2017-09-30,2017,9,111.09422674244688,111.09422674244688,39
Victoria,2017-10-31,2017,10,108.79137002692192,108.79137002692192,39
Victoria,2017-11-30,2017,11,101.29524379300028,101.29524379300028,39
Victoria,2017-12-31,2017,12,108.66808256057436,108.66808256057436,39
Victoria,2018-01-31,2018,1,113.69718815435238,117.01889021836676,39
Victoria,2018-02-28,2018,2,89.51796290756803,97.85004486987737,39
Victoria,2018-03-31,2018,3,122.77763984445107,122.93767574035296,39
Victoria,2018-04-30,2018,4,109.25845049356862,109.25845049356862,39
Victoria,2018-05-31,2018,5,97.76968291953332,97.76968291953332,39
Victoria,2018-06-30,2018,6,97.90228836374514,97.90228836374514,39
