Municipio,Año,PRECTOTCORR_total_anual,PRECTOTCORR_prom_diario_anual,PRECTOTCORR_max_mes,PRECTOTCORR_min_mes,PRECTOTCORR_std_mes,T2M_prom_anual,T2M_max_mes,T2M_min_mes,T2M_std_mes,RH2M_prom_anual,RH2M_max_mes,RH2M_min_mes,RH2M_std_mes,GWETROOT_prom_anual,GWETROOT_max_mes,GWETROOT_min_mes,GWETROOT_std_mes,ALLSKY_SFC_LW_DWN_prom_anual,ALLSKY_SFC_LW_DWN_max_mes,ALLSKY_SFC_LW_DWN_min_mes,ALLSKY_SFC_LW_DWN_std_mes,PS_prom_anual,PS_max_mes,PS_min_mes,PS_std_mes,WS2M_prom_anual,WS2M_max_mes,WS2M_min_mes,WS2M_std_mes,NDVI_prom_anual,NDVI_max_anual,NDVI_min_anual,NDVI_std_anual,NDVI_min_prom_anual,NDVI_max_prom_anual,NDVI_std_prom_anual,n_observaciones_16d_anual,meses_disponibles,T2M_rango_anual,NDVI_rango_anual,GWETROOT_rango_anual,PRECTOTCORR_rango_mes,estres_termico_hidrico,exceso_humedad_proxy,NDVI_ajustado_temp
Aguadas,2011,2921.37,7.9975,426.3,122.14,89.28213087276656,17.225833333333334,17.89,16.46,0.41262922677371977,89.3675,92.35,87.0,1.6874570701610048,0.96,1.0,0.9,0.03104249287084342,31.830833333333334,32.17,31.58,0.21236582216600344,81.63833333333334,81.74,81.53,0.061619556124414755,0.22416666666666665,0.27,0.19,0.024664414311581236,0.6349625,0.83845,0.3349999999999999,0.15402077210115647,0.536725,0.7332000000000001,0.15155869618213844,23,12,1.4299999999999997,0.5034500000000002,0.09999999999999998,304.16,17.94357638888889,2804.5152,0.03686106139035363
Aguadas,2012,2925.64,7.986666666666667,319.61,167.91,52.264742040940575,17.435,17.83,17.2,0.20478369963540416,88.72166666666668,90.98,85.83,1.7749511303558545,0.9500000000000001,0.99,0.88,0.0408989886516436,31.824166666666667,32.22,31.51,0.22849142945268944,81.64916666666666,81.74,81.58,0.05869154087002062,0.21,0.25,0.15,0.03190896140869862,0.5889916666666667,0.8069500000000001,0.08915,0.18897016218696985,0.48999166666666666,0.6879916666666667,0.15273506473629422,23,12,0.629999999999999,0.7178000000000001,0.10999999999999999,151.70000000000002,18.352631578947367,2779.358,0.033782143198546985
Aguadas,2013,2976.77,8.164166666666667,348.44,106.64,61.40801227828252,17.649166666666666,18.26,16.96,0.3586453891401855,89.20833333333333,91.89,86.72,1.6029735626092665,0.96,0.99,0.92,0.02412090756622106,31.945000000000004,32.31,31.46,0.25949251171539645,81.65333333333334,81.73,81.57,0.05581354239923687,0.20666666666666667,0.25,0.17,0.022696949467968477,0.5374291666666666,0.7437,0.2148,0.15176226992230216,0.3951833333333334,0.679675,0.21945380366297765,23,12,1.3000000000000007,0.5289,0.06999999999999995,241.8,18.38454861111111,2857.6992,0.0304506822796166
Aguadas,2014,2677.38,7.348333333333333,298.2,117.49,59.501390740049104,17.731666666666666,18.5,17.17,0.35200292698507657,88.61416666666666,91.81,84.61,2.230330013629589,0.9274999999999999,0.99,0.77,0.06903556395734803,31.9275,32.33,31.51,0.2850239224409705,81.65916666666666,81.75,81.56,0.059154394800750756,0.2091666666666667,0.24,0.17,0.025390883594254246,0.5032083333333334,0.7515000000000001,0.225,0.14785001588423893,0.3670833333333334,0.6393333333333334,0.21001071401240462,23,12,1.3299999999999983,0.5265000000000001,0.21999999999999997,180.70999999999998,19.11769991015274,2483.26995,0.028379076980919262
Aguadas,2015,1465.53,4.0225,192.82,31.93,47.422817892004076,18.1325,18.97,17.18,0.48275958631788657,85.45666666666666,90.59,78.54,3.7989839151908456,0.7816666666666667,0.92,0.64,0.10249907612296125,31.936666666666667,32.34,31.35,0.32797819587542293,81.65666666666667,81.72,81.58,0.042283315715288095,0.20916666666666664,0.26,0.18,0.023532698077098558,0.5956833333333333,0.8391,0.43105,0.14273091391803946,0.45814166666666667,0.733225,0.2121963167906175,23,12,1.7899999999999991,0.40804999999999997,0.28,160.89,23.19722814498934,1145.5559500000002,0.032851693552093386
Aguadas,2016,1906.77,5.2025,245.52,48.67,64.96543698208093,18.38416666666667,20.21,17.24,0.9594170420656801,85.98833333333333,91.13,78.15,4.17399488899224,0.7541666666666668,0.96,0.58,0.12258268699745142,32.016666666666666,32.57,31.56,0.3382933996435964,81.69916666666667,81.81,81.58,0.07354137157637146,0.205,0.25,0.16,0.028444523358476383,0.5690416666666667,0.8197000000000001,0.24405,0.20739914069399146,0.4552583333333333,0.6828249999999999,0.17554247255129304,23,12,2.9700000000000024,0.5756500000000001,0.38,196.85000000000002,24.376795580110496,1438.0223750000002,0.030952812655817955
Aguadas,2017,2357.33,6.426666666666667,326.12,77.83999999999999,70.53579548496614,17.761666666666667,18.31,17.19,0.3254879786450243,88.55333333333334,91.79,85.07,1.7533517685400257,0.9141666666666666,0.98,0.82,0.053844613697587466,31.851666666666663,32.41,31.55,0.2361368375764477,81.69166666666666,81.78,81.59,0.05605732996160675,0.21333333333333335,0.27,0.16,0.027413776673693678,0.5596541666666667,0.8161499999999999,0.26265,0.19522341567167387,0.4665333333333333,0.652775,0.14366481320671043,23,12,1.1199999999999974,0.5534999999999999,0.16000000000000003,248.28000000000003,19.429352780309937,2154.9925083333333,0.03150910199868631
Aguadas,2018,2106.68,5.783333333333334,288.92,77.19000000000001,64.57032435940513,17.603333333333335,18.19,17.13,0.2969950514841294,88.42583333333333,92.57,83.54,2.416355100082967,0.8958333333333334,0.98,0.75,0.06947312539043533,31.7825,32.12,31.18,0.299912866134027,81.67083333333333,81.76,81.59,0.06287915297448078,0.205,0.26,0.13,0.038729833462074155,0.5421583333333333,0.8181,0.2966,0.16788231921813745,0.41923333333333335,0.6650833333333334,0.18964603871423202,23,12,1.0600000000000023,0.5215000000000001,0.22999999999999998,211.73000000000002,19.650232558139535,1887.2341666666666,0.030798617686044305
Aguadas,2019,2124.5,5.819166666666667,355.26000000000005,71.61,83.10345817477189,18.136666666666667,18.61,17.56,0.33467306525333096,87.56333333333333,91.12,81.26,3.1552505543310017,0.8441666666666667,0.97,0.65,0.10396313449167129,31.7975,32.52,31.29,0.3950172608426573,81.68333333333334,81.77,81.59,0.05867217604984435,0.2058333333333333,0.24,0.15,0.02503028468705763,0.6324333333333333,0.7976000000000001,0.4244,0.12211913395855657,0.55745,0.7074166666666667,0.11568266940211913,23,12,1.0500000000000007,0.3732000000000001,0.31999999999999995,283.65000000000003,21.484698914116485,1793.4320833333334,0.03487042823010476
Aguadas,2020,1701.71,4.655,211.73,61.38,44.43196033535346,18.094166666666666,18.72,17.5,0.4163577642830587,86.82333333333332,88.5,83.83,1.251735764545552,0.785,0.84,0.71,0.03605551275463988,31.741666666666664,32.35,31.33,0.31423307311997656,81.69166666666666,81.75,81.6,0.046089504491181404,0.23083333333333333,0.26,0.19,0.026784776318353718,0.5798458333333333,0.78305,0.36405,0.14200423562558287,0.485675,0.6740166666666667,0.14528473055997415,23,12,1.2199999999999989,0.41900000000000004,0.13,150.35,23.04989384288747,1335.8423500000001,0.032046009303182424
