municipio,date,anio,mes,temp_mean,temp_min,temp_max,n_pixeles
Marmato,2019-06-30,2019,6,19.71459963056778,12.911309814453148,27.131707763671898,1.0
Marmato,2019-07-31,2019,7,19.904327318745302,12.397378540039083,28.52657470703128,1.0
Marmato,2019-08-31,2019,8,20.250681116247716,11.215478515625025,27.8740173339844,1.0
Marmato,2019-09-30,2019,9,20.214429706997358,12.380639648437525,28.662622070312523,1.0
Marmato,2019-10-31,2019,10,19.09723510332007,12.31611022949221,25.874047851562523,1.0
Marmato,2019-11-30,2019,11,19.13874217139352,13.489739990234398,26.773736572265648,1.0
Marmato,2019-12-31,2019,12,19.544015543947957,12.858377075195335,26.96607360839846,1.0
Marmato,2020-01-31,2020,1,20.226772562662777,12.679376220703148,29.150308227539085,1.0
Marmato,2020-02-29,2020,2,20.912911461139576,12.984979248046898,30.009149169921898,1.0
Marmato,2020-03-31,2020,3,20.640696051812963,12.50837097167971,28.2834411621094,1.0
Marmato,2020-04-30,2020,4,19.820596758524594,13.641259765625025,27.20508728027346,1.0
Marmato,2020-05-31,2020,5,19.786014831707067,13.50806579589846,28.045922851562523,1.0
Marmato,2020-06-30,2020,6,19.24812401665584,13.12384948730471,26.302545166015648,1.0
Marmato,2020-07-31,2020,7,19.05519268897274,12.571923828125025,26.67135009765628,1.0
Marmato,2020-08-31,2020,8,19.39006402210525,12.519769287109398,27.08435974121096,1.0
Marmato,2020-09-30,2020,9,18.981431219312903,12.764764404296898,26.3603454589844,1.0
Marmato,2020-10-31,2020,10,19.020753068821435,12.516213989257835,27.462503051757835,1.0
Marmato,2020-11-30,2020,11,18.861338784959607,13.444635009765648,26.35837707519533,1.0
Marmato,2020-12-31,2020,12,18.995998329244664,13.215722656250025,25.275811767578148,1.0
Marmato,2021-01-31,2021,1,19.54517016667194,12.444879150390648,28.31638488769533,1.0
Marmato,2021-02-28,2021,2,19.683660738808786,12.966455078125025,27.671258544921898,1.0
Marmato,2021-03-31,2021,3,18.74007361217214,12.937463378906273,26.79319152832033,1.0
Marmato,2021-04-30,2021,4,18.984612019856797,12.93512878417971,26.490289306640648,1.0
Marmato,2021-05-31,2021,5,19.19112206325738,12.410882568359398,26.807885742187523,1.0
Marmato,2021-06-30,2021,6,18.48025417327883,12.642053222656273,25.85030517578128,1.0
Marmato,2021-07-31,2021,7,19.12356777396256,11.778222656250025,27.528726196289085,1.0
Marmato,2021-08-31,2021,8,18.757404048468498,12.200830078125025,26.52732238769533,1.0
Marmato,2021-09-30,2021,9,18.798221778869657,11.830590820312525,27.34143981933596,1.0
Marmato,2021-10-31,2021,10,18.81943016462431,13.005288696289083,26.27097473144533,1.0
Marmato,2021-11-30,2021,11,18.550419786241342,13.99042663574221,24.907159423828148,1.0
Marmato,2021-12-31,2021,12,18.97740481797087,13.783380126953148,25.83411560058596,1.0
Marmato,2022-01-31,2022,1,18.95658374909433,12.575372314453148,27.32032165527346,1.0
Marmato,2022-02-28,2022,2,18.746778288341734,10.918328857421898,26.002481079101585,1.0
Marmato,2022-03-31,2022,3,18.928383968722457,12.693536376953148,25.98804626464846,1.0
Marmato,2022-04-30,2022,4,18.878235901726644,14.094384765625025,26.08907470703128,1.0
Marmato,2022-05-31,2022,5,19.001256745861447,13.262063598632835,27.291650390625023,1.0
Marmato,2022-06-30,2022,6,17.97756883833146,12.30652770996096,24.883950805664085,1.0
Marmato,2022-07-31,2022,7,18.699351226642595,12.87256774902346,25.959100341796898,1.0
Marmato,2022-08-31,2022,8,18.694999005717637,12.472329711914083,26.303796386718773,1.0
Marmato,2022-09-30,2022,9,18.50093377431236,12.802667236328148,26.133660888671898,1.0
Marmato,2022-10-31,2022,10,18.351553504697765,12.639367675781273,25.8767028808594,1.0
Marmato,2022-11-30,2022,11,18.278379609849743,13.647302246093773,25.836526489257835,1.0
Marmato,2022-12-31,2022,12,18.311201657531104,12.71265563964846,24.6374450683594,1.0
Marmato,2023-01-31,2023,1,18.271452819660173,12.384011840820335,26.3256774902344,1.0
Marmato,2023-02-28,2023,2,19.27666959762575,12.599450683593773,26.781152343750023,1.0
Marmato,2023-03-31,2023,3,18.642149984708414,12.83722839355471,26.757608032226585,1.0
Marmato,2023-04-30,2023,4,19.04854905870227,13.54163513183596,25.842874145507835,1.0
Marmato,2023-05-31,2023,5,19.895254717591015,12.92548522949221,28.00324401855471,1.0
Marmato,2023-06-30,2023,6,19.60175018310549,12.52533874511721,27.632897949218773,1.0
Marmato,2023-07-31,2023,7,19.978848270703413,12.87378845214846,28.507669067382835,1.0
Marmato,2023-08-31,2023,8,20.286275461668634,11.88465270996096,28.686181640625023,1.0
Marmato,2023-09-30,2023,9,20.250346544053848,13.910806274414083,29.116265869140648,1.0
Marmato,2023-10-31,2023,10,18.97302312543318,13.125146484375025,26.4086853027344,1.0
Marmato,2023-11-30,2023,11,19.307837486267115,13.595086669921898,27.111428833007835,1.0
Marmato,2023-12-31,2023,12,20.088089510189615,14.027001953125025,27.900720214843773,1.0
Marmato,2024-01-31,2024,1,20.992765619421544,12.683984375000025,28.66040954589846,1.0
Marmato,2024-02-29,2024,2,20.54609139979573,12.825006103515648,28.330987548828148,1.0
Marmato,2024-03-31,2024,3,21.035776946365218,15.129754638671898,28.893243408203148,1.0
Marmato,2024-04-30,2024,4,20.294297345479354,14.346551513671898,28.829187011718773,1.0
Marmato,2024-05-31,2024,5,19.796110694639168,13.675439453125025,26.7036071777344,1.0
Marmato,2024-06-30,2024,6,19.095425245496983,13.09266052246096,28.083657836914085,1.0
Marmato,2024-07-31,2024,7,19.84297868051839,12.496438598632835,28.09885559082033,1.0
Marmato,2024-08-31,2024,8,19.836281015539704,12.379541015625025,28.207940673828148,1.0
Marmato,2024-09-30,2024,9,20.509300846523725,13.155191040039083,29.161172485351585,1.0
Marmato,2024-10-31,2024,10,19.427595269808222,13.571313476562525,26.502847290039085,1.0
Marmato,2024-11-30,2024,11,18.592442025078686,13.858483886718773,25.361856079101585,1.0
Marmato,2024-12-31,2024,12,19.152685809391823,13.41639099121096,25.96433410644533,1.0
Marmato,2025-01-31,2025,1,19.50759718289942,12.871697998046898,26.470971679687523,1.0
Marmato,2025-02-28,2025,2,18.788118094489707,13.939843750000025,25.21430358886721,1.0
Marmato,2025-03-31,2025,3,18.921938135290688,13.378625488281273,26.289392089843773,1.0
Marmato,2025-04-30,2025,4,19.495395172966877,14.326516723632835,27.543069458007835,1.0
Marmato,2025-05-31,2025,5,18.975144548313622,13.974755859375025,26.901162719726585,1.0
Marmato,2025-06-30,2025,6,18.89684170617,12.142510986328148,26.16278991699221,1.0
Marmato,2025-07-31,2025,7,19.47491259010891,12.606256103515648,26.397012329101585,1.0
Marmato,2025-08-31,2025,8,19.211229106944117,12.849481201171898,26.93250427246096,1.0
Marmato,2025-09-30,2025,9,19.028493457370356,12.820825195312525,26.90125427246096,1.0
Marmato,2025-10-31,2025,10,18.37078425499703,12.295938110351583,24.941567993164085,1.0
Marmato,2025-11-30,2025,11,18.75357680850561,13.652978515625025,25.10469970703128,1.0
Marmato,2025-12-31,2025,12,19.022678978212443,13.243463134765648,25.2268005371094,1.0
Marquetalia,2005-01-31,2005,1,17.99321686554206,13.551428037701257,24.75391216856063,2.0
