Municipio,Año,NDVI,ALLSKY_SFC_LW_DWN,GWETROOT,PRECTOTCORR,PS,RH2M,T2M,WS2M,Código Dane municipio,Área sembrada (ha),Área cosechada (ha),Producción (t),Rendimiento (t/ha)
Aranzazu,2024,0.4751041666666666,31.951666666666668,0.8191666666666667,2238.15,81.70583333333333,87.02333333333333,18.743333333333336,0.2125,17050,1453.65,1141.33,1539.79,1.35
Belalcazar,2007,0.7148541666666667,31.4625,0.7200000000000001,1164.3,78.91333333333334,85.51666666666667,15.911666666666669,0.3033333333333333,17088,3734.0,3196.0,3835.0,1.2
Belalcazar,2008,0.6322166666666666,31.409166666666668,0.6641666666666667,1268.48,78.90083333333332,84.32416666666667,15.875,0.2975,17088,3754.0,3225.0,4656.0,1.44
Belalcazar,2009,0.5900166666666666,31.438333333333333,0.8383333333333334,1809.62,78.89,86.99083333333334,16.05666666666667,0.2875,17088,3507.0,3464.0,3308.0,0.96
Belalcazar,2010,0.6383666666666666,31.44083333333333,0.8433333333333334,2306.36,78.91333333333334,87.40750000000001,16.170833333333334,0.2916666666666667,17088,3612.0,3246.0,3895.0,1.2
Belalcazar,2011,0.7126333333333333,31.291666666666668,0.9225,2576.44,78.885,88.25,15.599166666666669,0.3058333333333333,17088,3329.0,2453.0,2453.0,1.0
Belalcazar,2012,0.6549875000000001,31.27083333333333,0.9133333333333332,2560.38,78.89999999999999,87.56583333333333,15.755,0.2891666666666666,17088,6785.0,30.0,3000.0,1.0
Belalcazar,2013,0.6598583333333333,31.449166666666667,0.9308333333333332,2728.97,78.90666666666667,88.12333333333333,16.006666666666668,0.2825,17088,3417.0,2505.0,2442.0,0.97
Belalcazar,2014,0.6555583333333334,31.411666666666665,0.8958333333333334,2404.87,78.91166666666666,87.52833333333332,16.063333333333333,0.2858333333333333,17088,3349.0,2709.0,2856.0,1.05
Belalcazar,2015,0.6940333333333334,31.42,0.775,1332.92,78.91666666666667,85.04583333333333,16.340833333333332,0.2841666666666667,17088,3251.0,2687.0,3079.0,1.15
Belalcazar,2016,0.6874416666666666,31.493333333333336,0.7200000000000001,1728.86,78.95833333333333,85.72666666666667,16.599166666666665,0.2733333333333334,17088,31.0,2512.0,2977.0,1.19
Belalcazar,2017,0.71015,31.34166666666667,0.8741666666666666,2211.96,78.94083333333333,87.38333333333333,16.140833333333333,0.2875,17088,3058.0,2189.0,3321.0,1.52
Belalcazar,2018,0.6583416666666667,31.328333333333333,0.8775,1983.61,78.91916666666667,87.29166666666667,15.970833333333331,0.285,17088,2981.0,2073.0,3216.0,1.55
Belalcazar,2019,0.6449625,31.379166666666663,0.8383333333333334,1998.93,78.93833333333333,86.88416666666667,16.418333333333333,0.2766666666666666,17088,2890.0,2085.0,2752.0,1.32
Belalcazar,2020,0.6858541666666667,31.3225,0.7908333333333334,1584.91,78.94500000000001,86.1475,16.459166666666665,0.2966666666666667,17088,2757.0,2034.0,496.4,0.24
Belalcazar,2021,0.6978208333333334,31.42333333333333,0.7158333333333333,1228.52,78.92,84.85666666666667,16.411666666666665,0.2891666666666666,17088,2600.69,1810.62,1973.58,1.09
Belalcazar,2022,0.518225,31.01333333333333,0.89,2527.64,78.91666666666667,88.09166666666665,15.955833333333333,0.2791666666666667,17088,2568.45,1950.93,2272.09,1.16
Belalcazar,2023,0.728425,30.894166666666667,0.8483333333333333,1918.92,78.94,86.70083333333334,16.44666666666667,0.2908333333333333,17088,2555.32,1962.68,2230.35,1.14
Belalcazar,2024,0.6962083333333333,31.203333333333333,0.8108333333333334,2077.82,78.97,86.6275,16.99416666666667,0.2783333333333333,17088,2505.16,1796.41,2534.75,1.41
Chinchina,2007,0.4415208333333333,31.4625,0.7200000000000001,1164.3,78.91333333333334,85.51666666666667,15.911666666666669,0.3033333333333333,17174,5632.0,5631.0,9203.0,1.63
Chinchina,2008,0.428675,31.409166666666668,0.6641666666666667,1268.48,78.90083333333332,84.32416666666667,15.875,0.2975,17174,5177.0,4477.0,7263.0,1.62
Chinchina,2009,0.4702583333333334,31.438333333333333,0.8383333333333334,1809.62,78.89,86.99083333333334,16.05666666666667,0.2875,17174,5052.0,45.0,7200.0,1.6
Chinchina,2010,0.4235458333333333,31.44083333333333,0.8433333333333334,2306.36,78.91333333333334,87.40750000000001,16.170833333333334,0.2916666666666667,17174,4957.0,4229.0,6344.0,1.5
Chinchina,2011,0.4563666666666666,31.291666666666668,0.9225,2576.44,78.885,88.25,15.599166666666669,0.3058333333333333,17174,4906.0,4022.0,5631.0,1.4
