municipio,date,anio,ndvi_mean,ndvi_median,ndvi_min,ndvi_max,ndvi_stdDev,n_pixeles
Anserma,2016-12-31,2016,0.6957131726541933,0.7322536180535192,0.0168,0.9994,0.13517569461915768,3592.25
Anserma,2017-12-31,2017,0.7122434199157971,0.7624709749877784,0.0442,0.9995,0.15676888966600053,3592.4583333333335
Anserma,2018-12-31,2018,0.7110309322108778,0.7543546871107637,0.0458,0.9994,0.15169212446175032,3592.5833333333335
Anserma,2019-12-31,2019,0.7066906319516898,0.7565110584359894,0.0294,0.999,0.15204768445169822,3592.25
Anserma,2020-12-31,2020,0.7068927917535782,0.746073228158506,0.0283,0.9993,0.14330259268995482,3591.9166666666665
Anserma,2021-12-31,2021,0.7040777850762031,0.7587035014695193,0.0351,0.9993,0.16432620778846668,3592.375
Anserma,2022-12-31,2022,0.6635482701212526,0.7293682110535992,0.0244,0.9994,0.192713702602754,3589.7916666666665
Anserma,2023-12-31,2023,0.7202401951187173,0.76009720450221,0.0189,0.9996,0.13225306474494156,3592.4166666666665
Anserma,2024-12-31,2024,0.7202645330158609,0.7601497167197401,0.0249,0.9977,0.13935673049545869,3592.5416666666665
Anserma,2025-12-31,2025,0.6908559096896001,0.7418617284783641,0.0075,0.9987,0.16049026689660786,3592.4166666666665
Aranzazu,2005-12-31,2005,0.5770370820794154,0.6103336409448403,0.0027,0.9987,0.21439484766762,2578.4166666666665
Aranzazu,2006-12-31,2006,0.5981588259493894,0.6406043840583688,0.0126,0.9995,0.20797466504759557,2578.5
Aranzazu,2007-12-31,2007,0.6049889424490492,0.6453086504718152,0.009,0.9987,0.206918487132818,2578.1666666666665
Aranzazu,2008-12-31,2008,0.5162032097684357,0.5269548496921966,0.0065,0.9991,0.219180974624917,2578.125
Aranzazu,2009-12-31,2009,0.593499206521787,0.6304175450075676,0.0095,0.9987,0.21113095745726182,2578.3333333333335
Aranzazu,2010-12-31,2010,0.5453820076425316,0.5555136946158677,0.0051,0.9995,0.18156519239386407,2578.4166666666665
Aranzazu,2011-12-31,2011,0.5356485799508961,0.5661749717100054,0.001,0.9993,0.2204573886765482,2578.4583333333335
Aranzazu,2012-12-31,2012,0.5821932309152537,0.6035782321092017,0.0106,0.9987,0.1975557204888686,2578.2083333333335
Aranzazu,2013-12-31,2013,0.6109076733820443,0.643443722982431,0.0082,0.999,0.2047159995887519,2578.5
Aranzazu,2014-12-31,2014,0.5947895265088695,0.6161439369304378,0.0075,0.9982,0.19759849699567536,2578.4166666666665
Aranzazu,2015-12-31,2015,0.650530016268197,0.6816508695298854,0.0126,0.9993,0.17017427040081204,2578.4166666666665
Aranzazu,2016-12-31,2016,0.6059788842719472,0.6195810009505393,-0.0001,0.9982,0.17832286366734415,2578.2083333333335
Aranzazu,2017-12-31,2017,0.5690468875014808,0.5990695394990055,0.012,0.999,0.21808455070918908,2578.4583333333335
Aranzazu,2018-12-31,2018,0.6052398346203279,0.6348767252771663,-0.0046,0.9995,0.18993888447864257,2578.375
Aranzazu,2019-12-31,2019,0.5970694463389824,0.618208684146834,0.0044,0.9993,0.1990021851834175,2578.5
Aranzazu,2020-12-31,2020,0.6187815555954671,0.6539277674828158,0.017,0.9992,0.19531707425764053,2578.2083333333335
Aranzazu,2021-12-31,2021,0.5369292826452673,0.547811280768386,0.0008,0.9994,0.22167852941455754,2578.2083333333335
Aranzazu,2022-12-31,2022,0.5349369963358374,0.5549294351833985,-0.0092,0.999,0.22420014310175398,2578.0
Aranzazu,2023-12-31,2023,0.7037095803862955,0.7542402653690039,0.0179,0.998,0.16616186999701762,2578.4166666666665
Aranzazu,2024-12-31,2024,0.6751794146179991,0.708617791111786,0.0006000000000000001,0.9994,0.1654360310499922,2578.4166666666665
Aranzazu,2025-12-31,2025,0.6655166539427714,0.6932807708653582,0.0241,0.9992,0.16758804902796973,2578.3333333333335
Belalcázar,2005-12-31,2005,0.7189025577039033,0.7527845173461004,0.0531,0.9985,0.12722372645236704,1966.7916666666667
Belalcázar,2006-12-31,2006,0.7239173741401842,0.7491413512193043,0.0511,0.9977,0.12243855033633187,1966.75
Belalcázar,2007-12-31,2007,0.7296442976128454,0.7542550594470064,0.0636,0.9993,0.11098993717267334,1966.7916666666667
Belalcázar,2008-12-31,2008,0.6891311408222228,0.7345525096513813,0.0437,0.9977,0.15168961791527377,1966.5416666666667
Belalcázar,2009-12-31,2009,0.7274738501743858,0.7637890561503649,0.0376,0.9978,0.12855361904347712,1966.8333333333333
Belalcázar,2010-12-31,2010,0.7002016225656092,0.7338683097644347,0.0498,0.999,0.1337563271888144,1966.7916666666667
Belalcázar,2011-12-31,2011,0.7092995530751728,0.743000968495482,0.0562,0.9994,0.13102724504201677,1966.7916666666667
Belalcázar,2012-12-31,2012,0.7086290377943879,0.7410428195129478,0.0242,0.9994,0.12388243046710747,1966.5416666666667
Belalcázar,2013-12-31,2013,0.7247339660366392,0.7601182131577113,0.0521,0.9994,0.12683686492719792,1966.7083333333333
Belalcázar,2014-12-31,2014,0.7261379369513415,0.7542652385368508,0.0305,0.9977,0.12085233942716435,1966.7083333333333
Belalcázar,2015-12-31,2015,0.7343460332557692,0.75557028294156,0.0538,0.9994,0.10302492704369637,1966.8333333333333
Belalcázar,2016-12-31,2016,0.7252129492474709,0.7514376485226172,0.0516,0.999,0.10961663786866836,1966.625
Belalcázar,2017-12-31,2017,0.7408025875420131,0.7762483029545612,0.0537,0.9988,0.12660450962346004,1966.8333333333333
Belalcázar,2018-12-31,2018,0.7388467055953886,0.773638907939631,0.0594,0.9995,0.12303688039652039,1966.625
Belalcázar,2019-12-31,2019,0.7255561541908113,0.7576209262283862,0.053,0.9989,0.12494984473222698,1966.625
Belalcázar,2020-12-31,2020,0.7380191500229331,0.7636102164349902,0.0552,0.9993,0.11610894612241751,1966.4583333333333
Belalcázar,2021-12-31,2021,0.7367942121451087,0.7694302571268937,0.0215,0.9977,0.12398661819920063,1966.6666666666667
Belalcázar,2022-12-31,2022,0.6900353383569041,0.7330645349860578,0.0139,0.9993,0.15659387447703954,1966.0416666666667
Belalcázar,2023-12-31,2023,0.7494941975439572,0.7764529990163581,0.0653,0.9975,0.10616744797020146,1966.75
Belalcázar,2024-12-31,2024,0.7268142990496803,0.7579700332875613,0.0433,0.9995,0.11684429026645887,1966.875
Belalcázar,2025-12-31,2025,0.7050060673952497,0.7425022056191463,0.0364,0.9983,0.1366759127586577,1966.8333333333333
Chinchiná,2005-12-31,2005,0.7452794517994983,0.7884562233235347,-0.1946,0.9985,0.13983794081672093,1945.1666666666667
Chinchiná,2006-12-31,2006,0.7414039898762753,0.7730553111005071,-0.1762,0.9992,0.13159491231859452,1944.8333333333333
Chinchiná,2007-12-31,2007,0.7353793504871954,0.7741352654143133,-0.179,0.999,0.13693429649684682,1945.25
Chinchiná,2008-12-31,2008,0.7198850081137897,0.775111886141945,-0.1831,0.9982,0.16317742797000714,1945.375
Chinchiná,2009-12-31,2009,0.7419717906055765,0.781381288567554,-0.1075,0.9985,0.1342985071266,1945.25
Chinchiná,2010-12-31,2010,0.6826392550447586,0.7226290004347887,-0.1782,0.9988,0.15436154061083251,1945.2083333333333
Chinchiná,2011-12-31,2011,0.7148017296803449,0.7609365501897085,-0.1871,0.9986,0.1513079373030019,1945.0
Chinchiná,2012-12-31,2012,0.7112355779573902,0.74673504671153,-0.1715,0.9995,0.1373895761647157,1945.625
Chinchiná,2013-12-31,2013,0.7402007920872419,0.7766281275654032,-0.1667,0.9991,0.12971034473015688,1945.4166666666667
Chinchiná,2014-12-31,2014,0.734700575625361,0.7672947947769018,-0.0433,0.9983,0.1311593257929993,1945.4166666666667
Chinchiná,2015-12-31,2015,0.7452799078312191,0.771471287290428,-0.0827,0.9988,0.10999656163498713,1945.4166666666667
Chinchiná,2016-12-31,2016,0.7088856851079933,0.7392208157057705,-0.1114,0.9975,0.1250725200541097,1945.5416666666667
