Municipio,Año,PRECTOTCORR_total_anual,PRECTOTCORR_prom_diario_anual,PRECTOTCORR_max_mes,PRECTOTCORR_min_mes,PRECTOTCORR_std_mes,T2M_prom_anual,T2M_max_mes,T2M_min_mes,T2M_std_mes,RH2M_prom_anual,RH2M_max_mes,RH2M_min_mes,RH2M_std_mes,GWETROOT_prom_anual,GWETROOT_max_mes,GWETROOT_min_mes,GWETROOT_std_mes,ALLSKY_SFC_LW_DWN_prom_anual,ALLSKY_SFC_LW_DWN_max_mes,ALLSKY_SFC_LW_DWN_min_mes,ALLSKY_SFC_LW_DWN_std_mes,PS_prom_anual,PS_max_mes,PS_min_mes,PS_std_mes,WS2M_prom_anual,WS2M_max_mes,WS2M_min_mes,WS2M_std_mes,NDVI_prom_anual,NDVI_max_anual,NDVI_min_anual,NDVI_std_anual,NDVI_min_prom_anual,NDVI_max_prom_anual,NDVI_std_prom_anual,n_observaciones_16d_anual,meses_disponibles,T2M_rango_anual,NDVI_rango_anual,GWETROOT_rango_anual,PRECTOTCORR_rango_mes,estres_termico_hidrico,exceso_humedad_proxy,NDVI_ajustado_temp,Código Dane municipio,Área sembrada (ha),Área cosechada (ha),Producción (t),Rendimiento (t/ha)
Aguadas,2017,2357.33,6.426666666666667,326.12,77.83999999999999,70.53579548496614,17.761666666666667,18.31,17.19,0.3254879786450243,88.55333333333334,91.79,85.07,1.7533517685400255,0.9141666666666666,0.98,0.82,0.0538446136975874,31.851666666666663,32.41,31.55,0.2361368375764477,81.69166666666666,81.78,81.59,0.0560573299616067,0.2133333333333333,0.27,0.16,0.0274137766736936,0.5596541666666667,0.8161499999999999,0.26265,0.1952234156716738,0.4665333333333333,0.652775,0.1436648132067104,23,12,1.1199999999999974,0.5534999999999999,0.16,248.28000000000003,19.429352780309937,2154.9925083333333,0.0315091019986863,17013,429.0,3379.0,3986.0,1.18
Aguadas,2018,2106.68,5.783333333333334,288.92,77.19000000000001,64.57032435940513,17.603333333333335,18.19,17.13,0.2969950514841294,88.42583333333333,92.57,83.54,2.416355100082967,0.8958333333333334,0.98,0.75,0.0694731253904353,31.7825,32.12,31.18,0.299912866134027,81.67083333333333,81.76,81.59,0.0628791529744807,0.205,0.26,0.13,0.0387298334620741,0.5421583333333333,0.8181,0.2966,0.1678823192181374,0.4192333333333333,0.6650833333333334,0.189646038714232,23,12,1.0600000000000025,0.5215000000000001,0.2299999999999999,211.73,19.650232558139532,1887.2341666666664,0.0307986176860443,17013,4205.0,339.0,4091.0,1.21
Aguadas,2019,2124.5,5.819166666666667,355.26000000000005,71.61,83.10345817477189,18.136666666666667,18.61,17.56,0.3346730652533309,87.56333333333333,91.12,81.26,3.1552505543310017,0.8441666666666667,0.97,0.65,0.1039631344916712,31.7975,32.52,31.29,0.3950172608426573,81.68333333333334,81.77,81.59,0.0586721760498443,0.2058333333333333,0.24,0.15,0.0250302846870576,0.6324333333333333,0.7976000000000001,0.4244,0.1221191339585565,0.55745,0.7074166666666667,0.1156826694021191,23,12,1.0500000000000007,0.3732000000000001,0.3199999999999999,283.65000000000003,21.484698914116485,1793.4320833333334,0.0348704282301047,17013,4094.0,3079.0,4068.0,1.32
Aguadas,2020,1701.71,4.655,211.73,61.38,44.43196033535346,18.094166666666663,18.72,17.5,0.4163577642830587,86.82333333333332,88.5,83.83,1.251735764545552,0.785,0.84,0.71,0.0360555127546398,31.741666666666664,32.35,31.33,0.3142330731199765,81.69166666666666,81.75,81.6,0.0460895044911814,0.2308333333333333,0.26,0.19,0.0267847763183537,0.5798458333333333,0.78305,0.36405,0.1420042356255828,0.485675,0.6740166666666667,0.1452847305599741,23,12,1.2199999999999989,0.419,0.13,150.35,23.04989384288747,1335.84235,0.0320460093031824,17013,4062.0,3167.0,3869.0,1.22
Aguadas,2021,1126.36,3.095,136.5,33.17,30.067363258745075,18.313333333333333,19.02,17.6,0.4496934983121745,83.28750000000001,88.95,76.77,3.957807301570359,0.6583333333333333,0.75,0.58,0.0502418393795691,31.83583333333333,32.38,31.56,0.2591053956609304,81.66583333333334,81.76,81.56,0.0736648841139065,0.2141666666666667,0.27,0.18,0.0290636709604442,0.453575,0.7880499999999999,0.27785,0.1589126425258401,0.2855416666666666,0.6216083333333333,0.2592382024699189,23,12,1.4199999999999982,0.5102,0.17,103.33,27.81772151898734,741.5203333333334,0.0247674736075718,17013,4021.23,3065.96,3127.28,1.02
Aguadas,2022,2723.89,7.47,317.7,113.46,66.39530876888179,17.550833333333333,18.05,17.11,0.2952797851447869,89.2075,91.94,86.94,1.5494581164218215,0.9175,0.99,0.72,0.0940140221649748,31.73583333333333,32.15,31.34,0.2582267619865553,81.66583333333334,81.73,81.59,0.0529937103186209,0.2108333333333333,0.25,0.19,0.0192865159365214,0.3653791666666666,0.72685,0.1026,0.2024766231830382,0.2405,0.4902583333333333,0.1926608848994728,23,12,0.9400000000000012,0.62425,0.27,204.24,19.12897366030881,2499.169075,0.0208183372109586,17013,4059.6,3177.86,3036.19,0.96
Aguadas,2023,2048.06,5.585,285.2,74.75999999999999,58.33998813122537,18.084166666666665,18.96,16.65,0.6145280278145955,87.69333333333333,89.78,83.53,2.1097795375274835,0.8658333333333333,0.97,0.71,0.0829521585376812,31.58583333333333,32.05,31.02,0.3226159645864727,81.68166666666667,81.75,81.62,0.0456933122883302,0.2225,0.26,0.2,0.0205049883066181,0.6647041666666667,0.79045,0.3919,0.110821688184081,0.5768916666666667,0.7525166666666667,0.1354752310318771,23,12,2.3100000000000023,0.3985499999999999,0.26,210.44,20.886429258902787,1773.2786166666667,0.0367561402700336,17013,4037.99,3189.87,3514.23,1.1
Aguadas,2024,2238.15,6.12,385.64,29.14,100.4707355063245,18.743333333333336,20.36,17.61,0.765189618013177,87.02333333333333,91.74,80.43,3.738532364768854,0.8191666666666667,0.98,0.63,0.1161862402534931,31.951666666666668,32.77,31.16,0.4875883758278342,81.70583333333333,81.79,81.63,0.0431610795495078,0.2125,0.27,0.16,0.0322278817739603,0.6074208333333333,0.7980499999999999,0.37295,0.1445763992093223,0.52745,0.6873916666666666,0.1233772768301218,23,12,2.75,0.4250999999999999,0.35,356.5,22.88097660223805,1833.417875,0.0324073003734661,17013,3994.28,2986.83,4066.56,1.36
Anserma,2007,1164.3,3.1775,182.1,27.72,41.206703889713694,15.911666666666669,16.6,15.27,0.4354482190974638,85.51666666666667,88.77,79.66,3.035931288398798,0.7200000000000001,0.83,0.64,0.0583095189484529,31.97833333333333,32.53,31.34,0.3400490160746439,78.91333333333334,79.0,78.8,0.06139785802206,0.3033333333333333,0.36,0.25,0.0367629589602788,0.7771125,0.86975,0.4790999999999999,0.100051157653109,0.7066833333333333,0.8475416666666667,0.108656599294511,23,12,1.3300000000000018,0.3906500000000001,0.1899999999999999,154.38000000000002,22.099537037037035,838.296,0.0488391641353304,17042,7125.0,5485.0,7131.0,1.3
Anserma,2008,1268.48,3.455833333333333,249.55,36.3,69.57916803356034,15.875,16.25,15.59,0.2010201256319652,84.32416666666667,89.6,78.62,3.303442992706334,0.6641666666666667,0.8,0.58,0.0593078767317145,31.9375,32.22,31.76,0.1270021474406857,78.90083333333332,78.99,78.82,0.0517789591056107,0.2975,0.35,0.26,0.0301887998496733,0.7690250000000001,0.84435,0.52205,0.0923871830445602,0.6956416666666666,0.8424083333333333,0.1132142239114315,23,12,0.6600000000000001,0.3223,0.22,213.25,23.90213299874529,842.4821333333334,0.0484425196850393,17042,6967.0,4985.0,5982.0,1.2
