modelo,mae,rmse,sesgo,municipio,variable,modelo_seleccionado
sarima,6.54355340537294,8.126873588351557,-4.560473365282431,Filadelfia,et_potencial_mm,sarima
seasonal_naive,6.921679084683643,8.560913518498353,-5.335618610146606,Filadelfia,et_potencial_mm,sarima
random_forest_lags,8.211302334472508,10.37624622546729,-6.564436020727553,Filadelfia,et_potencial_mm,sarima
seasonal_naive,0.039588317948887466,0.048169918836338546,-0.009394162670611751,Filadelfia,ndvi_mean,seasonal_naive
sarima,0.04073590466139997,0.05233613016868994,0.00169341871968937,Filadelfia,ndvi_mean,seasonal_naive
random_forest_lags,0.04401658981325306,0.05350942219459183,-0.0058047799333664175,Filadelfia,ndvi_mean,seasonal_naive
seasonal_naive,0.05836481106612685,0.10154992555521092,-0.026325877192982457,Filadelfia,ndvi_min,seasonal_naive
sarima,0.06184869877697653,0.1042392655799013,-0.01883157870030914,Filadelfia,ndvi_min,seasonal_naive
random_forest_lags,0.07256065361878956,0.10490255382528187,0.00022584792165668437,Filadelfia,ndvi_min,seasonal_naive
seasonal_naive,0.020750955915429605,0.03224250590964938,0.008190519568151153,Filadelfia,ndvi_max,seasonal_naive
sarima,0.02307585393739559,0.03362667370408954,0.0051896726752647115,Filadelfia,ndvi_max,seasonal_naive
random_forest_lags,0.028666688557660955,0.03390683246716297,-0.009518733500196766,Filadelfia,ndvi_max,seasonal_naive
sarima,60.70262422342098,79.09496213504823,-3.6152377471156045,La Dorada,precip_mm,sarima
seasonal_naive,61.2316055048662,80.36314324504886,-11.424847160832286,La Dorada,precip_mm,sarima
random_forest_lags,64.57504971006261,84.93264802002061,-17.67033865157092,La Dorada,precip_mm,sarima
sarima,2.0234617255066736,2.688837580726571,-0.15684337288322053,La Dorada,precip_mean_mm,sarima
seasonal_naive,2.0410166009397916,2.7318029138400988,-0.40339936675977633,La Dorada,precip_mean_mm,sarima
random_forest_lags,2.0593117332034385,2.8168412860869028,-0.46049171935698685,La Dorada,precip_mean_mm,sarima
random_forest_lags,9.718771679052676,12.554622607152654,-4.8761219251161805,La Dorada,precip_max_mm,random_forest_lags
seasonal_naive,9.218549657697103,12.568996201744477,-3.8587072921447105,La Dorada,precip_max_mm,random_forest_lags
sarima,10.39655445229483,13.358967872207387,-4.722751159593901,La Dorada,precip_max_mm,random_forest_lags
random_forest_lags,0.8607208549557234,1.0138720069454625,-0.13131708368608266,La Dorada,temp_mean,random_forest_lags
seasonal_naive,0.8975674016697932,1.2120278973927108,-0.5704308313111672,La Dorada,temp_mean,random_forest_lags
sarima,1.4555189798112336,1.6634017887386614,1.2316174038492884,La Dorada,temp_mean,random_forest_lags
random_forest_lags,0.5297448039901129,0.7685226287830653,-0.42414460783766117,La Dorada,temp_min,random_forest_lags
sarima,0.5938860933140417,0.7835638535745361,0.3340170873609956,La Dorada,temp_min,random_forest_lags
seasonal_naive,0.6998648046089736,0.913415130736361,-0.5849109328045009,La Dorada,temp_min,random_forest_lags
seasonal_naive,1.4248249777744266,1.9107658070780968,-0.6781357302015688,La Dorada,temp_max,seasonal_naive
random_forest_lags,1.7977795891700485,2.1625382567318088,0.5965095863550904,La Dorada,temp_max,seasonal_naive
sarima,2.174575529359139,2.517285346063747,1.6914911752239066,La Dorada,temp_max,seasonal_naive
sarima,16.482631381650503,22.600234961348903,-1.0490476085300182,La Dorada,et_real_mm,sarima
seasonal_naive,16.40256869772999,23.582556031941685,0.7994444021775976,La Dorada,et_real_mm,sarima
random_forest_lags,17.343556525937135,24.691449214474897,1.420879533826393,La Dorada,et_real_mm,sarima
sarima,9.369763172087099,10.74379005961149,-6.823000242540897,La Dorada,et_potencial_mm,sarima
random_forest_lags,10.284330989514553,12.0562373940137,-8.432995055533047,La Dorada,et_potencial_mm,sarima
seasonal_naive,11.24121842665854,12.87130325065444,-9.860476615157443,La Dorada,et_potencial_mm,sarima
seasonal_naive,0.03583747766597925,0.05775554831843674,-0.0027586267950033974,La Dorada,ndvi_mean,seasonal_naive
random_forest_lags,0.04326572161093557,0.06377718054699805,-0.0053022856742412465,La Dorada,ndvi_mean,seasonal_naive
sarima,0.03891904823461853,0.06634658789604295,0.010436308449370062,La Dorada,ndvi_mean,seasonal_naive
random_forest_lags,0.07006862492087294,0.08997627206556846,0.03906882191800964,La Dorada,ndvi_min,random_forest_lags
seasonal_naive,0.07168461538461537,0.09061256631679314,0.037283805668016194,La Dorada,ndvi_min,random_forest_lags
sarima,0.07294615384615384,0.09093041295408265,0.03511538461538462,La Dorada,ndvi_min,random_forest_lags
random_forest_lags,0.017251669976430684,0.02477817906748956,-0.004581836906409957,La Dorada,ndvi_max,random_forest_lags
sarima,0.01838389369911122,0.02527780608978549,-0.004741323171266141,La Dorada,ndvi_max,random_forest_lags
seasonal_naive,0.016945355375618552,0.025738437151119137,-0.003581477732793552,La Dorada,ndvi_max,random_forest_lags
seasonal_naive,51.04936780150763,84.58976318662285,-7.258701833508003,La Merced,precip_mm,seasonal_naive
sarima,51.812785119584014,89.79702038777663,-31.15392335239725,La Merced,precip_mm,seasonal_naive
random_forest_lags,53.20726829541501,91.2605295164226,-24.690576118192038,La Merced,precip_mm,seasonal_naive
seasonal_naive,1.7179877792364204,2.954276860908805,-0.28053617918856527,La Merced,precip_mean_mm,seasonal_naive
random_forest_lags,1.7127767115630184,3.0980824304416923,-0.6159083025641383,La Merced,precip_mean_mm,seasonal_naive
sarima,1.7339988682099576,3.1298896870111395,-1.075475441180885,La Merced,precip_mean_mm,seasonal_naive
sarima,10.588978830987255,15.56841837854122,-1.121282299808353,La Merced,precip_max_mm,sarima
seasonal_naive,10.843802041655723,16.73682254917912,-4.278894849620138,La Merced,precip_max_mm,sarima
random_forest_lags,12.639823477385413,19.216204664512322,-3.3473137213353845,La Merced,precip_max_mm,sarima
sarima,0.4922485884735047,0.6137436937347476,-0.050231349065189744,La Merced,temp_mean,sarima
seasonal_naive,0.49924973431471437,0.6412585073965793,-0.14209797251882675,La Merced,temp_mean,sarima
random_forest_lags,0.7151455107516228,0.8274990977968343,0.21569001632019918,La Merced,temp_mean,sarima
sarima,0.3545806179795309,0.4992643388510826,-0.16610964118010713,La Merced,temp_min,sarima
