Código Dane municipio,Municipio,Año,Área sembrada (ha),Área cosechada (ha),Producción (t),Rendimiento (t/ha)
17541,Pensilvania,2014,4939.7,3987.15,7013.94,1.76
17541,Pensilvania,2015,5350.06,4318.38,7147.89,1.66
17541,Pensilvania,2016,4092.44,3537.7,6935.01,1.96
17541,Pensilvania,2017,3652.88,2946.83,6546.41,2.22
17541,Pensilvania,2018,3941.01,3356.15,4297.75,1.28
17513,Pácora,2012,3429.6,1957.13,3237.65,1.65
17513,Pácora,2013,4264.05,2721.55,5154.82,1.89
17513,Pácora,2014,4352.43,2857.5,5380.42,1.88
17513,Pácora,2015,4714.0,3094.88,5483.18,1.77
17513,Pácora,2016,3605.9,2535.39,5319.87,2.1
17513,Pácora,2017,3218.6,2111.93,5021.77,2.38
17513,Pácora,2018,3472.47,2405.27,3296.82,1.37
17614,Riosucio,2012,2871.69,1905.71,3007.25,1.58
17614,Riosucio,2013,3570.4,2650.05,4787.99,1.81
17614,Riosucio,2014,3644.4,2782.42,4997.54,1.8
17614,Riosucio,2015,3947.15,3013.57,5092.98,1.69
17614,Riosucio,2016,3019.31,2468.78,4941.3,2.0
17614,Riosucio,2017,2695.01,2056.44,4664.41,2.27
17614,Riosucio,2018,2907.58,2342.08,3062.21,1.31
17616,Risaralda,2012,2943.8,1694.33,2813.07,1.66
17616,Risaralda,2013,3660.06,2356.11,4478.83,1.9
17616,Risaralda,2014,3735.92,2473.8,4674.84,1.89
17616,Risaralda,2015,4046.28,2679.3,4764.13,1.78
17616,Risaralda,2016,3095.13,2194.94,4622.24,2.11
17616,Risaralda,2017,2762.69,1828.34,4363.23,2.39
17616,Risaralda,2018,2980.6,2082.3,2864.49,1.38
17653,Salamina,2012,2261.69,1441.32,1153.5,0.8
17653,Salamina,2013,2811.98,2004.28,1836.54,0.92
17653,Salamina,2014,2870.26,2104.39,1916.92,0.91
17653,Salamina,2015,3108.71,2279.21,1953.53,0.86
17653,Salamina,2016,2377.96,1867.18,1895.35,1.02
17653,Salamina,2017,2122.54,1555.32,1789.14,1.15
17653,Salamina,2018,2289.96,1771.36,1174.58,0.66
17662,Samaná,2012,2823.61,1916.32,3005.24,1.57
17662,Samaná,2013,3510.62,2664.81,4784.79,1.8
17662,Samaná,2014,3583.38,2797.91,4994.19,1.78
17662,Samaná,2015,3881.07,3030.35,5089.57,1.68
17662,Samaná,2016,2968.76,2482.53,4937.99,1.99
17662,Samaná,2017,2649.89,2067.89,4661.29,2.25
17662,Samaná,2018,2858.9,2355.12,3060.16,1.3
17665,San José,2012,1668.72,1008.76,1657.06,1.64
17665,San José,2013,2074.74,1402.77,2638.28,1.88
17665,San José,2014,2117.74,1472.84,2753.74,1.87
17665,San José,2015,2293.67,1595.19,2806.34,1.76
17665,San José,2016,1754.51,1306.81,2722.76,2.08
17665,San José,2017,1566.06,1088.55,2570.19,2.36
17665,San José,2018,1689.58,1239.75,1687.34,1.36
17777,Supía,2012,1483.42,972.85,1553.43,1.6
17777,Supía,2013,1844.35,1352.83,2473.29,1.83
17777,Supía,2014,1882.58,1420.41,2581.53,1.82
17777,Supía,2015,2038.97,1538.41,2630.83,1.71
17777,Supía,2016,1559.68,1260.29,2552.48,2.03
17777,Supía,2017,1392.16,1049.8,2409.45,2.3
17777,Supía,2018,1501.96,1195.61,1581.82,1.32
17867,Victoria,2012,104.17,66.11,107.65,1.63
17867,Victoria,2013,129.52,91.93,171.4,1.86
17867,Victoria,2014,132.2,96.52,178.9,1.85
17867,Victoria,2015,143.18,104.54,182.32,1.74
17867,Victoria,2016,109.53,85.64,176.89,2.07
17867,Victoria,2017,97.76,71.34,166.98,2.34
17867,Victoria,2018,105.47,81.25,109.62,1.35
17873,Villamaría,2012,1616.64,989.17,1562.48,1.58
17873,Villamaría,2013,2009.98,1375.53,2487.71,1.81
17873,Villamaría,2014,2051.64,1444.24,2596.58,1.8
17873,Villamaría,2015,2222.08,1564.22,2646.17,1.69
17873,Villamaría,2016,1699.74,1281.44,2567.36,2.0
17873,Villamaría,2017,1517.18,1067.41,2423.5,2.27
17873,Villamaría,2018,1636.85,1215.68,1591.04,1.31
17877,Viterbo,2012,447.73,286.47,458.78,1.6
17877,Viterbo,2013,556.67,398.36,730.45,1.83
17877,Viterbo,2014,568.21,418.26,762.42,1.82
17877,Viterbo,2015,615.41,453.0,776.98,1.72
17877,Viterbo,2016,470.75,371.11,753.84,2.03
17877,Viterbo,2017,420.18,309.13,711.6,2.3
17877,Viterbo,2018,453.33,352.06,467.17,1.33
17001,Manizales,2019,5075.0,3444.0,4597.0,1.33
17001,Manizales,2020,4920.0,3362.0,4149.0,1.23
17001,Manizales,2021,4781.7,3268.13,4934.88,1.51
17001,Manizales,2022,4765.43,3386.54,4076.85,1.2
17001,Manizales,2023,4778.52,3466.14,6275.13,1.81
17001,Manizales,2024,4778.01,3416.6,7611.86,2.23
17013,Aguadas,2019,4094.0,3079.0,4068.0,1.32
17013,Aguadas,2020,4062.0,3167.0,3869.0,1.22
17013,Aguadas,2021,4021.23,3065.96,3127.28,1.02
