municipio,date,anio,mes,ndvi_mean,ndvi_median,ndvi_min,ndvi_max,ndvi_stdDev,n_pixeles
Risaralda,2020-07-31,2020,7,0.7355318583181183,0.7753125801471612,0.0518,0.9958,0.1357556041479251,1602.0
Risaralda,2020-08-31,2020,8,0.6760133764800422,0.7558401047741714,0.0283,0.9903,0.18863831376583046,1601.5
Risaralda,2020-09-30,2020,9,0.7435639631966173,0.7577769238724694,0.0684,0.9971,0.09920539758972971,1602.0
Risaralda,2020-10-31,2020,10,0.7307926337508924,0.7987576589042049,0.0793,0.9878,0.17769145856405555,1609.0
Risaralda,2020-11-30,2020,11,0.6842849819745661,0.7397345945945949,0.0689,0.9975,0.1723167829519743,1609.0
Risaralda,2020-12-31,2020,12,0.6841628580602692,0.7327990010147061,0.0131,0.9991,0.18197649464823434,1613.5
Risaralda,2021-01-31,2021,1,0.740091167084313,0.7749743983923023,0.0819,0.9962,0.1164448641755377,1608.5
Risaralda,2021-02-28,2021,2,0.7198145860502518,0.7556330954368399,0.097,0.9817,0.12495946745735985,1602.0
Risaralda,2021-03-31,2021,3,0.6996344437380464,0.7460371112966524,0.0556,0.9935,0.1551967765665174,1602.0
Risaralda,2021-04-30,2021,4,0.704548081447792,0.7559065436316426,0.0993,0.9735,0.1669887658514472,1602.0
Risaralda,2021-05-31,2021,5,0.718590086642541,0.7716054349248509,0.1004,0.9745,0.1440839687604932,1602.0
Risaralda,2021-06-30,2021,6,0.7426025496924453,0.7908297068889643,0.0668,0.9954,0.1447306905849929,1602.0
Risaralda,2021-07-31,2021,7,0.7783864825139102,0.8006696205253439,0.0898,0.9966,0.0965474965504958,1602.0
Risaralda,2021-08-31,2021,8,0.7033751502456087,0.7559323081310632,0.0663,0.9898,0.1579799431035152,1602.0
Risaralda,2021-09-30,2021,9,0.7554310125412966,0.7698273021922449,0.1076,0.9972,0.0984480841339695,1602.0
Risaralda,2021-10-31,2021,10,0.692868350612936,0.7479170296252698,0.1145,0.9789,0.1590978418155021,1602.0
Risaralda,2021-11-30,2021,11,0.6842597167545412,0.753850751427172,0.0671,0.9986,0.18872653316572185,1608.5
Risaralda,2021-12-31,2021,12,0.7060670543678182,0.779360942725728,0.027,0.9992,0.1901026204311269,1614.0
Risaralda,2022-01-31,2022,1,0.7218757167385242,0.7557715900565234,0.0585,0.9609,0.1164376078915045,1609.0
Risaralda,2022-02-28,2022,2,0.695133757172665,0.7558396092562459,0.0607,0.9428,0.1641099734282811,1602.0
Risaralda,2022-03-31,2022,3,0.6743618612523904,0.7029111808204834,0.1076,0.9928,0.1471752208933337,1602.0
Risaralda,2022-04-30,2022,4,0.7091293698921917,0.7405304004406515,0.0789,0.998,0.1652604320227773,1602.0
Risaralda,2022-05-31,2022,5,0.5949901640747258,0.617098182544757,0.0915,0.9945,0.2058979740425231,1602.0
Risaralda,2022-06-30,2022,6,0.6118832074041469,0.6607832531658286,0.0386,0.9978,0.2082360717331912,1602.0
Risaralda,2022-07-31,2022,7,0.7393306554023213,0.7988242722414467,0.0745,0.9955,0.16281653580385705,1602.0
Risaralda,2022-08-31,2022,8,0.7185574759962352,0.7656599132381354,0.0659,0.9939,0.14664122154693765,1601.5
Risaralda,2022-09-30,2022,9,0.6667497754466605,0.7189343424768053,0.0271,0.9979,0.1868655105691289,1602.0
Risaralda,2022-10-31,2022,10,0.598089366354453,0.7562389694995558,0.0261,0.9645,0.2810018276112559,1588.0
