Municipio,Año,Mes,ALLSKY_SFC_LW_DWN,GWETROOT,PRECTOTCORR,PS,RH2M,T2M,WS2M,NDVI,NDVI_min,NDVI_max,NDVI_std,n_observaciones_16d
Aguadas,2010,3,32.41,0.64,4.01,81.62,82.86,19.33,0.21,0.62105,0.4818,0.7603,0.1969292385604534,2
Aguadas,2010,4,32.5,0.79,11.09,81.66,89.1,18.52,0.21,0.741,0.7261,0.7559,0.0210717820793591,2
Aguadas,2010,5,32.34,0.93,7.06,81.7,90.39,18.29,0.2,0.6924,0.5814,0.8034,0.1569777054234135,2
Aguadas,2010,6,32.11,0.98,9.48,81.78,90.01,17.79,0.19,0.3179,0.1955,0.4403,0.1730997400344668,2
Aguadas,2010,7,32.01,0.99,10.45,81.75,91.06,17.34,0.2,0.7356499999999999,0.6906,0.7807,0.0637103209849078,2
Aguadas,2010,8,32.06,0.97,7.73,81.74,88.84,17.53,0.19,0.4945,0.3005,0.6885,0.2743574311003804,2
Aguadas,2010,9,31.89,0.98,10.7,81.7,89.78,17.09,0.21,0.53845,0.4153,0.6616,0.1741604002062466,2
Aguadas,2010,10,31.67,0.98,7.44,81.67,90.32,17.14,0.25,0.1305,0.1305,0.1305,,1
Aguadas,2010,11,31.76,1.0,10.96,81.6,92.31,16.6,0.26,0.6113999999999999,0.5503,0.6725,0.086408448660996,2
Aguadas,2010,12,31.53,0.99,8.75,81.55,90.36,16.88,0.23,0.28565,0.2483,0.323,0.0528208765546351,2
Aguadas,2011,1,31.67,0.95,3.94,81.53,88.54,17.14,0.24,0.6779,0.5517,0.8041,0.1784737515714846,2
Aguadas,2011,2,31.92,0.93,5.58,81.59,89.02,17.03,0.2,0.6137999999999999,0.5134,0.7142,0.1419870416622587,2
Aguadas,2011,3,32.01,0.96,7.41,81.6,88.75,17.18,0.23,0.4907,0.3492,0.6322,0.2001112190757929,2
Aguadas,2011,4,32.15,1.0,14.21,81.65,91.26,17.14,0.23,0.6624,0.6512,0.6736,0.0158391918985786,2
Aguadas,2011,5,32.17,0.98,6.69,81.63,89.63,17.89,0.2,0.4169,0.1315,0.7023,0.4036165507012813,2
Aguadas,2011,6,31.76,0.96,7.16,81.7,88.99,17.74,0.19,0.7274,0.7146,0.7402,0.0181019335983756,2
Aguadas,2011,7,31.61,0.94,8.51,81.68,87.79,17.31,0.21,0.5804499999999999,0.353,0.8079,0.3216628747617605,2
Aguadas,2011,8,31.66,0.94,5.55,81.71,87.24,17.58,0.21,0.83845,0.7122,0.9647,0.1785444622496032,2
Aguadas,2011,9,31.65,0.9,5.74,81.74,87.0,17.5,0.21,0.3349999999999999,0.2673,0.4027,0.0957422581726585,2
Aguadas,2011,10,31.58,0.96,9.9,81.65,90.98,16.46,0.25,0.7779,0.7779,0.7779,,1
