municipio,date,anio,mes,precip_mm,precip_mean_mm,precip_max_mm,n_pixeles
Marquetalia,2021-12-31,2021,12,3339.3921649131344,9.174873023567288,97.99425265181048,8.0
Marquetalia,2022-12-31,2022,12,5196.612547847553,14.283475565166404,102.46312247099324,8.0
Marquetalia,2023-12-31,2023,12,3499.1647706354893,9.578600725139061,106.00939088829053,8.0
Marquetalia,2024-12-31,2024,12,3563.467645951287,9.750729090627635,95.35634432743008,8.0
Marquetalia,2025-12-31,2025,12,4526.995448882631,12.543460110505366,104.28220138244224,8.0
Marulanda,2005-12-31,2005,12,2176.8926268938403,5.957927670203539,65.54176885137478,26.0
Marulanda,2006-12-31,2006,12,2079.048743769059,5.684546429507656,37.32675797925572,26.0
Marulanda,2007-12-31,2007,12,2179.6237806052027,5.931263515637904,64.26354697478251,26.0
Marulanda,2008-12-31,2008,12,2489.1027324700003,6.79588805867667,49.93225737710221,26.0
Marulanda,2009-12-31,2009,12,1824.6262860827846,5.001145027239209,46.429222012969525,26.0
Marulanda,2010-12-31,2010,12,2461.989757009141,6.735819962177952,56.81444860984329,26.0
Marulanda,2011-12-31,2011,12,2455.5667594716247,6.736351072411401,72.09954754419991,26.0
Marulanda,2012-12-31,2012,12,1730.9273194695463,4.724210809035048,42.0007959800276,26.0
Marulanda,2013-12-31,2013,12,1896.4732258063968,5.203577425773333,39.66400320378924,26.0
Marulanda,2014-12-31,2014,12,1589.1035071826675,4.350442372204057,37.16789849599203,26.0
Marulanda,2015-12-31,2015,12,1679.3787974574134,4.608476182900467,34.31792602795328,26.0
Marulanda,2016-12-31,2016,12,1857.9909405717844,5.072686497497647,37.16898706793708,26.0
Marulanda,2017-12-31,2017,12,2320.8539737247916,6.3391066071918205,42.49490815587937,26.0
Marulanda,2018-12-31,2018,12,2292.524026973027,6.273056993382831,53.288072426198624,26.0
Marulanda,2019-12-31,2019,12,1962.2091851826167,5.387094100434453,54.86552410467419,26.0
Marulanda,2020-12-31,2020,12,1949.036759980472,5.327182514565872,51.67936620266866,26.0
Marulanda,2021-12-31,2021,12,2075.780971150252,5.693372498823821,44.27487540168786,26.0
Marulanda,2022-12-31,2022,12,3058.8024484067687,8.389215073074775,65.7154108671065,26.0
Marulanda,2023-12-31,2023,12,2120.1562475474384,5.791631688134572,55.85176340128777,26.0
Marulanda,2024-12-31,2024,12,2166.8508244341724,5.925423464083869,56.03889549228524,26.0
Marulanda,2025-12-31,2025,12,2649.138541161882,7.346445779224212,96.28062399670776,26.0
Neira,2005-12-31,2005,12,2137.227350111304,5.849322939562774,64.60760478513035,23.0
Neira,2006-12-31,2006,12,2039.0886607095447,5.573992988685305,36.97887804550199,23.0
Neira,2007-12-31,2007,12,2132.004218265229,5.803285241694546,63.50886936150417,23.0
Neira,2008-12-31,2008,12,2592.742321140689,7.080551614028946,58.3686805079361,23.0
Neira,2009-12-31,2009,12,1834.342090558982,5.0281515678316575,50.51424924921382,23.0
Neira,2010-12-31,2010,12,2428.599645497591,6.642840446099405,61.48745879330667,23.0
Neira,2011-12-31,2011,12,2529.3859296589985,6.945915046095545,52.2262127236144,23.0
Neira,2012-12-31,2012,12,1732.8468148485938,4.728107847081697,51.337462271574026,23.0
Neira,2013-12-31,2013,12,1978.2210317844665,5.4313857511549335,47.59269599267569,23.0
Neira,2014-12-31,2014,12,1622.7979247854641,4.446482680514721,34.50494223953615,23.0
Neira,2015-12-31,2015,12,1667.884793070625,4.570821917913567,37.682275105207,23.0
Neira,2016-12-31,2016,12,1687.4539210290898,4.612024624281907,29.75206694195492,23.0
Neira,2017-12-31,2017,12,2154.4460784032767,5.884476439465785,54.32824738011667,23.0
Neira,2018-12-31,2018,12,2140.1081254054047,5.861392845760925,41.94654132833063,23.0
Neira,2019-12-31,2019,12,2027.2452907642732,5.559492523088189,54.64294890710439,23.0
Neira,2020-12-31,2020,12,1833.5397598565821,5.006474107517359,63.92933696963315,23.0
Neira,2021-12-31,2021,12,2000.7463723515573,5.486656107098889,60.44657308948014,23.0
Neira,2022-12-31,2022,12,2643.3429002485864,7.242379349927664,70.85400299052355,23.0
Neira,2023-12-31,2023,12,2087.191533991618,5.692821374471666,57.28618095905578,23.0
Neira,2024-12-31,2024,12,2057.256980783757,5.621721669297653,61.61032091303736,23.0
Neira,2025-12-31,2025,12,2386.7596555725368,6.615023074212597,91.69681455011236,23.0
Norcasia,2005-12-31,2005,12,3625.915175106212,9.901324429182052,76.34666875337301,16.0
Norcasia,2006-12-31,2006,12,3933.1563057610238,10.759102183438761,75.7797733086034,16.0
Norcasia,2007-12-31,2007,12,4047.6054087253624,11.007252094370164,64.2228098799053,16.0
Norcasia,2008-12-31,2008,12,4351.288980589416,11.894106124492799,59.35920581215308,16.0
Norcasia,2009-12-31,2009,12,3832.639060263195,10.503664827885892,66.18061482278925,16.0
Norcasia,2010-12-31,2010,12,3863.553449132694,10.563659283308823,73.16122155842031,16.0
Norcasia,2011-12-31,2011,12,4421.111968703522,12.134256443225466,81.33438782541377,16.0
Norcasia,2012-12-31,2012,12,3573.4954221082994,9.748339253854509,64.64589192440637,16.0
Norcasia,2013-12-31,2013,12,3876.9389584910873,10.628566248320281,64.50260575947007,16.0
Norcasia,2014-12-31,2014,12,3834.2458478957105,10.53426736400869,70.80374734175834,16.0
Norcasia,2015-12-31,2015,12,2867.0573158362668,7.847810722726397,45.37312014931128,16.0
Norcasia,2016-12-31,2016,12,3386.6363521246226,9.249050582242873,87.35179427297491,16.0
Norcasia,2017-12-31,2017,12,4077.634421288591,11.138764854177717,63.36178373637953,16.0
Norcasia,2018-12-31,2018,12,3897.096140369882,10.646181881163201,63.42771420729788,16.0
Norcasia,2019-12-31,2019,12,3559.8287592252855,9.78457537492467,66.79313927299098,16.0
Norcasia,2020-12-31,2020,12,3046.88909746599,8.32960756540774,47.94940589704013,16.0
Norcasia,2021-12-31,2021,12,3378.2874167772975,9.255244798616225,67.43409358175178,16.0
Norcasia,2022-12-31,2022,12,4768.562743342613,13.060611778718405,145.55799120852825,16.0
Norcasia,2023-12-31,2023,12,3574.3456814510578,9.763889088454846,66.40915311712969,16.0
Norcasia,2024-12-31,2024,12,3532.228522545285,9.64886264831409,86.79747557188337,16.0
Norcasia,2025-12-31,2025,12,4540.289179955425,12.529783243884706,102.89417949274969,16.0
Palestina,2005-12-31,2005,12,2614.9919866769224,7.163836688949497,60.64734981388881,11.0
Palestina,2006-12-31,2006,12,2504.0823060096855,6.847097003699549,54.82515464774493,11.0
Palestina,2007-12-31,2007,12,2467.370262821687,6.716895482940424,51.860637150961786,11.0
Palestina,2008-12-31,2008,12,3097.350137109387,8.463122824653178,54.97783572509372,11.0
Palestina,2009-12-31,2009,12,2324.543945935266,6.369038338709089,59.85240541655443,11.0
Palestina,2010-12-31,2010,12,2893.2611935513805,7.9195241444792375,70.08475635791648,11.0
Palestina,2011-12-31,2011,12,3038.1070818320436,8.348190777722035,63.6646087210754,11.0
Palestina,2012-12-31,2012,12,2131.61800423059,5.817145922237688,71.9067790549377,11.0
Palestina,2013-12-31,2013,12,2490.5809580917507,6.847786396667144,62.6768066800874,11.0
Palestina,2014-12-31,2014,12,2140.0851943205143,5.871148330977551,44.30378999175697,11.0
Palestina,2015-12-31,2015,12,2009.8909718828472,5.5049437570066075,57.74082144992106,11.0
Palestina,2016-12-31,2016,12,2063.6594758316364,5.644255736302987,41.5076398890594,11.0
Palestina,2017-12-31,2017,12,2551.0080698445954,6.965990178862353,71.26723237695366,11.0
Palestina,2018-12-31,2018,12,2498.60805780158,6.850303375944161,68.9174801275648,11.0
Palestina,2019-12-31,2019,12,2445.273611804535,6.708359634142902,80.40051139634231,11.0
Palestina,2020-12-31,2020,12,2191.8736221036847,5.982212818895706,47.62776839322058,11.0
Palestina,2021-12-31,2021,12,2385.2423300979467,6.545199786014923,82.39661666442608,11.0
Palestina,2022-12-31,2022,12,3122.793794154736,8.585521216448976,104.43478671435656,11.0
Palestina,2023-12-31,2023,12,2449.484880201519,6.682668287659486,57.22041298192124,11.0
Palestina,2024-12-31,2024,12,2532.9218920005796,6.925962800616593,59.98498069417889,11.0
Palestina,2025-12-31,2025,12,2876.941383323728,7.984298403036511,134.66945248636708,11.0
Pensilvania,2005-12-31,2005,12,3208.646249025795,8.776482507357665,95.15846668523427,31.0
Pensilvania,2006-12-31,2006,12,3093.286991199489,8.459840755946717,51.16435942529341,31.0
Pensilvania,2007-12-31,2007,12,3199.536819058033,8.704090619745047,79.29801931186131,31.0
Pensilvania,2008-12-31,2008,12,3592.3640478741822,9.81451876429862,71.10248887926231,31.0
Pensilvania,2009-12-31,2009,12,2857.40095233266,7.8345632142106325,63.06195898503604,31.0
Pensilvania,2010-12-31,2010,12,3532.2254227856292,9.662539810014314,66.01769508334274,31.0
Pensilvania,2011-12-31,2011,12,3555.1576142783347,9.752306651664922,62.04011390768663,31.0
Pensilvania,2012-12-31,2012,12,2744.0890253639395,7.489681379758307,55.0900052884282,31.0
Pensilvania,2013-12-31,2013,12,2686.25874411278,7.385382654249569,46.580112875698575,31.0
Pensilvania,2014-12-31,2014,12,2268.99891095982,6.222264187520332,44.97117340005262,31.0
Pensilvania,2015-12-31,2015,12,2091.7331052239765,5.737410950753525,36.31805846998122,31.0
Pensilvania,2016-12-31,2016,12,2635.8562098254943,7.191882876273657,50.664050353563226,31.0
Pensilvania,2017-12-31,2017,12,3312.7394222419903,9.048752896727711,53.7357238356387,31.0
Pensilvania,2018-12-31,2018,12,3300.549732197216,9.019088227918187,46.90903571963168,31.0
Pensilvania,2019-12-31,2019,12,2769.608700332616,7.617229791593558,64.70431572722471,31.0
Pensilvania,2020-12-31,2020,12,2587.291953507127,7.073681131231901,50.68891458063781,31.0
Pensilvania,2021-12-31,2021,12,2736.737356377394,7.507078125294979,70.30017726085677,31.0
Pensilvania,2022-12-31,2022,12,4299.768545100286,11.785611600785854,96.9583014519206,31.0
Pensilvania,2023-12-31,2023,12,2765.7388989214433,7.555822113426745,61.71396465645801,31.0
Pensilvania,2024-12-31,2024,12,2984.6932356442708,8.157392103072398,60.49961262139459,31.0
Pensilvania,2025-12-31,2025,12,3685.8527356896125,10.188955135182207,76.630419509649,31.0
Pácora,2005-12-31,2005,12,2235.5546777191407,6.108092366991865,47.860787902016895,18.0
Pácora,2006-12-31,2006,12,2346.671835599822,6.42368200597883,37.13745715490769,18.0
Pácora,2007-12-31,2007,12,2479.3197738709805,6.7489925463254155,72.19279449234082,18.0
Pácora,2008-12-31,2008,12,2969.4220615331833,8.106558070083205,55.274198113810606,18.0
Pácora,2009-12-31,2009,12,2062.2608019713502,5.65562406447845,81.01051203469417,18.0
Pácora,2010-12-31,2010,12,2823.2297862620703,7.72660020122126,63.79599134164543,18.0
Pácora,2011-12-31,2011,12,2728.182266260546,7.485616300842243,55.32425959800714,18.0
Pácora,2012-12-31,2012,12,2103.4323030067253,5.74284143833134,39.471537356747575,18.0
Pácora,2013-12-31,2013,12,2142.843712939402,5.876443243244523,46.46648421819344,18.0
Pácora,2014-12-31,2014,12,1754.4580115896306,4.806540727476413,34.91612076066652,18.0
