municipio,date,anio,mes,precip_mm,precip_mean_mm,precip_max_mm,n_pixeles
La Dorada,2013-07-31,2013,7,68.83712149875753,2.220552306411533,12.592111625533176,36.0
La Dorada,2013-08-31,2013,8,246.68966488009437,7.957731125164335,28.249592091673865,36.0
La Dorada,2013-09-30,2013,9,248.49618880079666,8.28320629335989,28.11523502921137,36.0
La Dorada,2013-10-31,2013,10,400.4663567372356,12.91826957216889,41.18004907491597,36.0
La Dorada,2013-11-30,2013,11,357.1499347845399,11.904997826151329,40.90953221025831,36.0
La Dorada,2013-12-31,2013,12,354.84191943911225,11.446513530293943,52.041233727007416,36.0
La Dorada,2014-01-31,2014,1,282.21339021380345,9.103657748832369,65.80008226913164,36.0
La Dorada,2014-02-28,2014,2,282.18145641560193,10.077909157700068,65.86067148609858,36.0
La Dorada,2014-03-31,2014,3,201.60643701130323,6.503433451977523,30.497992224477592,36.0
La Dorada,2014-04-30,2014,4,241.0587477383511,8.03529159127837,22.68167113126973,36.0
La Dorada,2014-05-31,2014,5,363.61346994903874,11.729466772549637,35.034060766365,36.0
La Dorada,2014-06-30,2014,6,129.7717735590409,4.325725785301363,25.8342918128783,36.0
La Dorada,2014-07-31,2014,7,54.176485965636196,1.7476285795366515,10.240243189262625,36.0
La Dorada,2014-08-31,2014,8,146.54132490635544,4.72713951310824,25.265057713094382,36.0
La Dorada,2014-09-30,2014,9,379.91207340300787,12.663735780100263,43.10213676983712,36.0
La Dorada,2014-10-31,2014,10,521.9428326850091,16.836865570484164,44.36432001283936,36.0
La Dorada,2014-11-30,2014,11,321.1019202600093,10.70339734200031,68.10104566380598,36.0
La Dorada,2014-12-31,2014,12,250.3011271375598,8.07422990766322,71.29091078532488,36.0
La Dorada,2015-01-31,2015,1,200.3091996646943,6.461587085957881,44.20718806010879,36.0
La Dorada,2015-02-28,2015,2,127.12788649991671,4.540281660711311,35.08806080455888,36.0
La Dorada,2015-03-31,2015,3,156.62929267259244,5.052557828148143,28.79209051102884,36.0
La Dorada,2015-04-30,2015,4,288.52199538381257,9.617399846127086,26.05393100591097,36.0
La Dorada,2015-05-31,2015,5,236.8289122808697,7.6396423316409585,28.443131369354955,36.0
La Dorada,2015-06-30,2015,6,118.45703129005055,3.948567709668352,14.20190887237569,36.0
La Dorada,2015-07-31,2015,7,114.83748908581103,3.7044351318003557,13.57859223340235,36.0
La Dorada,2015-08-31,2015,8,160.93804891872782,5.191549965120252,28.014425550786665,36.0
La Dorada,2015-09-30,2015,9,221.65831263305117,7.388610421101705,30.433142533467745,36.0
La Dorada,2015-10-31,2015,10,416.7335282370978,13.443017039906382,41.456719540481664,36.0
La Dorada,2015-11-30,2015,11,326.1489238259454,10.87163079419818,39.287749119165134,36.0
La Dorada,2015-12-31,2015,12,136.770430102074,4.411949358131419,31.619647519024102,36.0
La Dorada,2016-01-31,2016,1,100.82422552351686,3.2523943717263504,37.93157258408605,36.0
La Dorada,2016-02-29,2016,2,124.36771037089596,4.2885417369274474,29.512304135147915,36.0
La Dorada,2016-03-31,2016,3,183.7679029707852,5.927996870025329,28.551705772121803,36.0
La Dorada,2016-04-30,2016,4,260.2960292424976,8.676534308083253,35.873313598900864,36.0
La Dorada,2016-05-31,2016,5,299.53746856525896,9.662498985976095,35.3275860693039,36.0
La Dorada,2016-06-30,2016,6,103.71325166868336,3.457108388956112,12.216858306368769,36.0
La Dorada,2016-07-31,2016,7,119.51391334281347,3.855287527187531,13.09475516121169,36.0
La Dorada,2016-08-31,2016,8,165.20191022359754,5.329093878180566,20.36216869362624,36.0
La Dorada,2016-09-30,2016,9,249.40585808762864,8.313528602920956,24.24129744208481,36.0
La Dorada,2016-10-31,2016,10,541.7453597539551,17.475656766256616,49.85480644014985,36.0
La Dorada,2016-11-30,2016,11,467.3568085060865,15.578560283536216,74.08558622284002,36.0
La Dorada,2016-12-31,2016,12,251.01436604142555,8.097237614239534,54.48516850142715,36.0
