municipio,date,humedad_suelo_capa1,humedad_suelo_capa2,radiacion_solar_j_m2,viento_u_ms,viento_v_ms,anio,mes,temp_media_c,temp_min_c,temp_max_c,temp_rocio_c,precip_mm,et_potencial_mm,et_real_mm,escorrentia_sup_mm,escorrentia_sub_mm,balance_hidrico_mm,amplitud_termica_c,velocidad_viento_ms,deficit_hidrico_mm,estres_hidrico,ratio_et,humedad_suelo_total,dif_temp_rocio,radiacion,presion_kpa,precip_3m,precip_6m,balance_3m,balance_6m,ndvi_mean
Villamaria,2019-02-01,0.4257882135780946,0.426684811702999,18232579.062148187,-0.5616294511633221,0.0228182146552126,2019,2,14.203889873324272,10.30993793846801,19.4088998549355,11.903007641019656,20.515518375951398,-6.9757631023339,-3.3690512501466,6.994654308161699,8.7432360284231,27.4912814782853,9.098961916467488,0.5620927960168728,-27.4912814782853,0,0.4829653306295247,0.8524730252810936,2.300882232304616,18232579.062148187,76.59766415410073,47.315250067284396,128.09304111686788,69.3599064310633,167.7091653790511,0.5656348309514015
Villamaria,2019-03-01,0.4264426878491949,0.4288193925273089,18709574.6951312,-0.4719928787958264,-0.0093332397091008,2019,3,14.274029181763126,10.170785862139326,19.852240195614,12.471033020056325,33.5238001300278,-6.6245681650673,-3.3676668687331,15.4801177310064,14.3377380719151,40.1483682950951,9.681454333474676,0.4720851480373421,-40.1483682950951,0,0.5083602875205941,0.8552620803765039,1.802996161706801,18709574.6951312,76.61202283726752,65.0922915204136,125.5975556679661,86.3274259770445,165.2297693805751,0.3914398031103022
Villamaria,2019-04-01,0.4318195276663243,0.4348228493183693,15930200.867092654,-0.321277621455086,-0.0358884301245981,2019,4,14.384895735675173,10.989065162298573,19.89500200233016,13.170075961392854,47.646718451649704,-4.5332037491666,-3.1121085382360003,22.0207366710188,22.8388530795651,52.17992220081631,8.905936840031586,0.3232758720731346,-52.17992220081631,0,0.6865143057649785,0.8666423769846936,1.2148197742823186,15930200.867092654,76.64925577771747,101.6860369576289,156.1208817923779,119.81957197419669,194.1143048778178,0.4719471531340587
Villamaria,2019-05-01,0.4332716282429087,0.4372764757197806,16032255.608712085,-0.3304405001195487,-0.0028295135329321,2019,5,14.236840673035601,10.949219856260981,19.66114564709744,13.180096452797386,51.8215322605529,-4.3478893702444,-3.2619176691452,23.216454171750197,25.1840194504559,56.1694216307973,8.71192579083646,0.3304526142521655,-56.1694216307973,0,0.7502303167369139,0.8705481039626893,1.0567442202382153,16032255.608712085,76.63693475720547,132.9920508422304,180.30730090951482,148.4977121267087,217.857618557772,0.3022102327921704
Villamaria,2019-06-01,0.4322561638014738,0.436040156545787,16047591.616897412,-0.6537600902774153,0.1132772400920567,2019,6,14.029419665618263,10.611345192418753,19.23788522294467,12.834542815488703,45.574551798596,-4.5438536569439,-3.128800017248,19.443686540811502,23.0858832655919,50.1184054555399,8.626540030525916,0.6635013102944166,-50.1184054555399,0,0.6885786695716418,0.8682963203472608,1.1948768501295604,16047591.616897412,76.65501655076416,145.0428025107986,210.13509403121222,158.4677492871535,244.795175264198,0.4580770826103895
Villamaria,2019-07-01,0.4327782365732399,0.4358865082081707,19132492.81012746,-0.7148923755657199,0.1974289428965675,2019,7,13.455962248780224,9.482496020480198,19.51094164334137,11.87687821271453,45.4894260500378,-5.5971717872558004,-3.6457122277534,19.2360293979257,22.7218922614752,51.0865978372936,10.02844562286117,0.7416530834124904,-51.0865978372936,0,0.6513491130294475,0.8686647447814106,1.5790840360656944,19132492.81012746,76.63823518302614,142.8855101091867,244.5715470668156,157.37442492363078,277.1939968978275,0.4346836109346396
Villamaria,2019-08-01,0.430895418732393,0.4337869231339722,21051243.80095503,-0.7824839155418464,0.3222747000161966,2019,8,13.431766399395997,8.908020342120835,19.726639746092985,11.203624227195121,31.394592218339103,-7.1186252178172,-3.7730773093745,11.0116988236711,16.8923355188245,38.5132174361563,10.81861940397215,0.8462517712550024,-38.5132174361563,0,0.5300290047521918,0.8646823418663652,2.228142172200876,21051243.80095503,76.66879029330401,122.4585700669729,255.4506209092033,139.7182207289898,288.2159328556985,0.5183983697340813
Villamaria,2019-09-01,0.4295596700633804,0.4335322576082045,20261859.517724976,-0.4797894881245879,0.2104699787578982,2019,9,13.625540090106654,9.12154024480975,19.936218182093626,11.7632670861027,27.9297904127664,-6.5864066904450995,-3.7740167432038,8.093820467861,15.5904962070601,34.5161971032115,10.814677937283875,0.5239232433030665,-34.5161971032115,0,0.5730009538706016,0.8630919276715849,1.8622730040039528,20261859.517724976,76.66633981590105,104.81380868114331,249.85661119194188,124.1160123766614,282.5837616638149,0.257502786165402
Villamaria,2019-10-01,0.4318459682575337,0.4352747457314405,17974805.691311512,-0.4166956097339775,0.0452191519860374,2019,10,13.330728578052572,9.488240794944943,18.720511460686907,11.94755816584103,36.3707905236546,-5.2224451586363,-3.4452412966489,13.693458385725298,19.5323041049895,41.593235682290896,9.232270665741964,0.4191419841508455,-41.593235682290896,0,0.6596990206111714,0.8671207139889742,1.3831704122115411,17974805.691311512,76.58661375408778,95.6951731547601,238.5806832639468,114.62265022165869,271.9970751452895,0.2289142807181476
Villamaria,2019-11-01,0.4283017237840102,0.431142481464336,16034812.423642175,-0.4359910594346383,0.0195831533254723,2019,11,13.741781333618235,10.30818328803258,18.535544669869466,12.060658901365002,18.2963666713311,-5.4265174153831,-2.9556051911941,4.5532423639217,11.197152467729499,23.7228840867142,8.227361381836886,0.4364306403096685,-23.7228840867142,0,0.5446597715645979,0.8594442052483462,1.6811224322532325,16034812.423642175,76.55315521707514,82.5969476077521,205.05551767472502,99.8323168722166,239.5505376012064,0.454207645972249
