municipio,date,anio,et_real_mm,et_potencial_mm,n_pixeles
Aranzazu,2013-12-31,2013,1009.1382681564247,1049.2131284916202,14.0
Aranzazu,2014-12-31,2014,1023.2290502793296,1055.7232402234638,14.0
Aranzazu,2015-12-31,2015,1038.3283240223464,1094.7995530726257,14.0
Aranzazu,2016-12-31,2016,989.255810055866,1032.1497206703912,14.0
Aranzazu,2017-12-31,2017,1026.6201117318437,1039.1222905027935,14.0
Aranzazu,2018-12-31,2018,996.6251955307263,1010.9195530726257,14.0
Aranzazu,2019-12-31,2019,1045.0019553072625,1156.1653631284917,14.0
Aranzazu,2020-12-31,2020,1158.6720670391062,1186.4414525139666,14.0
Aranzazu,2021-12-31,2021,1069.3802234636871,1087.2846368715084,14.0
Aranzazu,2022-12-31,2022,1040.1245810055866,1040.7586033519553,14.0
Aranzazu,2023-12-31,2023,1088.317653631285,1098.3090502793298,14.0
Aranzazu,2024-12-31,2024,1027.8974860335197,1133.1025698324024,14.0
Belalcázar,2005-12-31,2005,1154.1230825958703,1160.4053097345134,14.0
Belalcázar,2006-12-31,2006,1159.7842920353983,1171.474557522124,14.0
Belalcázar,2007-12-31,2007,1095.9316371681416,1161.129719764012,14.0
Belalcázar,2008-12-31,2008,1151.5200589970502,1152.039749262537,14.0
Belalcázar,2009-12-31,2009,1181.9630530973452,1198.063126843658,14.0
Belalcázar,2010-12-31,2010,1089.2188053097348,1207.5580383480828,14.0
Belalcázar,2011-12-31,2011,1180.6744100294986,1181.0956489675518,14.0
Belalcázar,2012-12-31,2012,1216.2154867256638,1227.3823008849558,14.0
Belalcázar,2013-12-31,2013,1131.7087758112095,1208.7719764011802,14.0
Belalcázar,2014-12-31,2014,1165.986504424779,1218.7606194690268,14.0
Belalcázar,2015-12-31,2015,1151.3629793510327,1271.168510324484,14.0
Belalcázar,2016-12-31,2016,1102.1767699115046,1206.595353982301,14.0
Belalcázar,2017-12-31,2017,1182.674778761062,1206.1879056047198,14.0
Belalcázar,2018-12-31,2018,1118.7707227138644,1145.944174041298,14.0
Belalcázar,2019-12-31,2019,1319.856342182891,1346.2858407079648,14.0
Belalcázar,2020-12-31,2020,1234.917330383481,1351.6811946902656,14.0
Belalcázar,2021-12-31,2021,1253.6559734513276,1256.2825958702067,14.0
Belalcázar,2022-12-31,2022,1183.8808259587022,1194.1468289085547,14.0
Belalcázar,2023-12-31,2023,1263.0054572271388,1265.4089233038349,14.0
Belalcázar,2024-12-31,2024,1256.138790560472,1282.0320058997052,14.0
Chinchiná,2005-12-31,2005,1146.9717341482046,1151.338731856379,14.0
Chinchiná,2006-12-31,2006,1145.5992360580594,1160.4874713521772,14.0
Chinchiná,2007-12-31,2007,1095.6940412528647,1152.4595874713523,14.0
Chinchiná,2008-12-31,2008,1137.053552330023,1137.053552330023,14.0
Chinchiná,2009-12-31,2009,1173.394423223835,1186.3829640947288,14.0
Chinchiná,2010-12-31,2010,1085.6191749427044,1191.9669213139803,14.0
Chinchiná,2011-12-31,2011,1164.664705882353,1164.840718105424,14.0
Chinchiná,2012-12-31,2012,1202.1724980901452,1213.535141329259,14.0
Chinchiná,2013-12-31,2013,1131.1381970970206,1197.6196333078685,14.0
Chinchiná,2014-12-31,2014,1153.8618029029794,1204.7641711229946,14.0
Chinchiná,2015-12-31,2015,1149.6948815889991,1252.438884644767,14.0
Chinchiná,2016-12-31,2016,1103.0954927425516,1189.866692131398,14.0
Chinchiná,2017-12-31,2017,1169.7480519480519,1186.8226890756303,14.0
Chinchiná,2018-12-31,2018,1117.0802139037432,1135.6552330022917,14.0
Chinchiná,2019-12-31,2019,1299.209549274255,1320.2378915202444,14.0
Chinchiná,2020-12-31,2020,1227.8116119174942,1336.246218487395,14.0
Chinchiná,2021-12-31,2021,1237.2103896103897,1239.2802139037433,14.0
Chinchiná,2022-12-31,2022,1168.431398013751,1181.3822001527883,14.0
Chinchiná,2023-12-31,2023,1241.4659281894576,1246.4862490450726,14.0
Chinchiná,2024-12-31,2024,1262.2151260504202,1272.046294881589,14.0
Filadelfia,2005-12-31,2005,1169.8899305555556,1175.7241753472224,15.0
Filadelfia,2006-12-31,2006,1165.0822048611112,1180.7387152777778,15.0
Filadelfia,2007-12-31,2007,1105.864279513889,1170.304296875,15.0
Filadelfia,2008-12-31,2008,1152.6100260416667,1154.0863281250001,15.0
Filadelfia,2009-12-31,2009,1194.5606770833333,1202.75703125,15.0
Filadelfia,2010-12-31,2010,1097.1395833333333,1207.3248697916667,15.0
Filadelfia,2011-12-31,2011,1183.1932291666667,1183.1932291666667,15.0
Filadelfia,2012-12-31,2012,1227.616015625,1237.3641059027777,15.0
Filadelfia,2013-12-31,2013,1151.0520833333335,1216.8536458333333,15.0
Filadelfia,2014-12-31,2014,1196.6264322916668,1227.6408854166668,15.0
Filadelfia,2015-12-31,2015,1194.7085069444445,1275.197482638889,15.0
Filadelfia,2016-12-31,2016,1123.7520833333335,1215.8243923611112,15.0
Filadelfia,2017-12-31,2017,1196.3153645833336,1221.2250000000001,15.0
Filadelfia,2018-12-31,2018,1137.0320746527777,1163.7113281250001,15.0
Filadelfia,2019-12-31,2019,1215.544965277778,1335.5380208333333,15.0
Filadelfia,2020-12-31,2020,1269.4618923611113,1363.9819878472224,15.0
Filadelfia,2021-12-31,2021,1226.1191406250002,1254.194921875,15.0
Filadelfia,2022-12-31,2022,1199.8004340277778,1200.6229166666667,15.0
Filadelfia,2023-12-31,2023,1263.7258680555556,1268.408984375,15.0
Filadelfia,2024-12-31,2024,1147.4532552083333,1302.566232638889,15.0
La Dorada,2005-12-31,2005,1354.792270237371,1379.3782410225203,48.0
La Dorada,2006-12-31,2006,1332.1932440657338,1361.9705416920272,48.0
La Dorada,2007-12-31,2007,1223.8864576993308,1355.5005629945224,48.0
La Dorada,2008-12-31,2008,1278.6189592209375,1299.2574102251979,48.0
La Dorada,2009-12-31,2009,1372.674710894705,1388.572352404139,48.0
La Dorada,2010-12-31,2010,1200.562401095557,1365.7508368837496,48.0
La Dorada,2011-12-31,2011,1317.436944613512,1332.0486762020696,48.0
La Dorada,2012-12-31,2012,1378.0442026780283,1430.4969111381622,48.0
La Dorada,2013-12-31,2013,1338.0233566646384,1415.1490109555696,48.0
La Dorada,2014-12-31,2014,1380.8415094339625,1430.334677419355,48.0
La Dorada,2015-12-31,2015,1331.0097230675594,1469.3670267802802,48.0
La Dorada,2016-12-31,2016,1235.6749847839321,1386.4777236762022,48.0
La Dorada,2017-12-31,2017,1332.165276932441,1387.8148356664642,48.0
La Dorada,2018-12-31,2018,1283.9503956177725,1338.45415398661,48.0
La Dorada,2019-12-31,2019,1226.0228241022521,1580.0031192939748,48.0
La Dorada,2020-12-31,2020,1248.1883444917835,1588.7678788800977,48.0
La Dorada,2021-12-31,2021,1304.745541692027,1480.4639074863057,48.0
La Dorada,2022-12-31,2022,1292.7465916007307,1404.7485849056607,48.0
La Dorada,2023-12-31,2023,1368.9156725502132,1526.0935788192332,48.0
La Dorada,2024-12-31,2024,1215.406299452222,1532.1752434570908,48.0
La Merced,2005-12-31,2005,1157.6611320754716,1161.437358490566,9.0
La Merced,2006-12-31,2006,1151.4403773584904,1164.7878301886792,9.0
La Merced,2007-12-31,2007,1091.6078301886794,1153.599245283019,9.0
La Merced,2008-12-31,2008,1135.4042452830188,1137.4140566037736,9.0
La Merced,2009-12-31,2009,1179.2752830188679,1184.8253773584906,9.0
La Merced,2010-12-31,2010,1083.6851886792451,1188.9448113207545,9.0
La Merced,2011-12-31,2011,1166.2689622641508,1166.4028301886792,9.0
La Merced,2012-12-31,2012,1214.3965094339621,1221.3627358490564,9.0
La Merced,2013-12-31,2013,1138.027075471698,1199.643679245283,9.0
La Merced,2014-12-31,2014,1184.0352830188679,1211.231320754717,9.0
La Merced,2015-12-31,2015,1188.0296226415094,1257.7961320754716,9.0
La Merced,2016-12-31,2016,1111.3830188679246,1198.925849056604,9.0
La Merced,2017-12-31,2017,1186.2985849056604,1208.1899056603775,9.0
La Merced,2018-12-31,2018,1127.0134905660377,1151.6724528301886,9.0
La Merced,2019-12-31,2019,1208.3759433962264,1321.5087735849056,9.0
La Merced,2020-12-31,2020,1240.8616037735849,1343.8596226415093,9.0
La Merced,2021-12-31,2021,1193.5466981132074,1234.7466981132075,9.0
La Merced,2022-12-31,2022,1178.6916981132076,1178.876320754717,9.0
La Merced,2023-12-31,2023,1243.3072641509434,1254.9605660377358,9.0
La Merced,2024-12-31,2024,1117.2656603773585,1289.3957547169812,9.0
Manizales,2005-12-31,2005,1035.220273089323,1043.8079082116442,35.0
Manizales,2006-12-31,2006,1035.9424995258867,1050.8867627536506,35.0
Manizales,2007-12-31,2007,1004.1423857386687,1044.2597762184714,35.0
Manizales,2008-12-31,2008,1026.0110942537456,1026.5396927745116,35.0
Manizales,2009-12-31,2009,1062.285643846008,1075.5526455528163,35.0
Manizales,2010-12-31,2010,996.4070548075099,1077.8728996776028,35.0
Manizales,2011-12-31,2011,1051.674758202162,1052.7258676275364,35.0
Manizales,2012-12-31,2012,1077.6367532713825,1099.336411909729,35.0
Manizales,2013-12-31,2013,1033.5674378911435,1085.703584297364,35.0
Manizales,2014-12-31,2014,1046.7071496301915,1090.2623364308743,35.0
Manizales,2015-12-31,2015,1044.379423478096,1130.671173904798,35.0
Manizales,2016-12-31,2016,1001.7869523990139,1067.4705860041722,35.0
Manizales,2017-12-31,2017,1050.4777735634364,1068.6366205196284,35.0
Manizales,2018-12-31,2018,1015.9819836904987,1037.1830077754598,35.0
